"uname2","upost","uopin"
"Anonymous","05 Sep 2025","The 3 companies you mentioned were all killed by Apple themselves (or at least Apple assisted)."
"","09 Sep 2025","Solid upgrade this time around."
"BlahBlah","16 Sep 2025","For you, iOS is just another operating system. When you trying to compare phones with different operating system you compare them by Android standards. You can't compare them that easily. People buy iPhones because of iOS and what they are offering feature wise. Maybe you don't like it, but the fact is even Android is much more flexible, that won't matter much if you got some apps and features that only iOS offers. IOS in special place because it is not for free like Android is. You can find Android OS practically everywhere, not just phones. Yes they are more practical because they offer more choice and competition in Android world, but that doesn't mean iPhone and their ecosystem is bad. It is not."
"","10 Sep 2025","Resolution doesn't mean quality."
"","10 Sep 2025","As a samsung fan (currently using s25+), apple has destroyed both samsung and google for the base models. Same price as previous year, but with lots of upgrades, compared to samsung and google. The reason most people buy an android is because its hardware is more advanced than iphone. Now iphone has caught up, and even got in front(cameras, charging, etc.) so there is no reason to buy an android right now."
"Anonymous","09 Sep 2025","u can repeat ur comment next year ...."
"mini","07 Aug 2025","the difference in display is not just the 120hz refresh rate its also the size its now 6.3 instead of 6.1 you will see how many people will get the base model this year its gonna outsell every older model"
"","18 May 2026","I have come across a video where the iPhone 17 (including Air/Pro) won't turn on when put on charging if its 0%. I did see a few posts regarding the same issue users have. Did anyone face this issue? There are a couple of workarounds, like charging your phone using MagSafe for 15 minutes, and it boots up, or holding the volume down + power button."
"Pol Kuad","11 May 2026","I stand by my message, read it again. That's based on my usage, which isn't intensive. You also don't expect three days of heavy use on a compact phone like the iPhone 17. In my case, I prefer to sacrifice battery life and have a compact phone rather than a shoe."
"Anonymous","23 Feb 2026","Outside maybe. Inside completely different and probably one of the best upgrades in 5 years of apple production lol"
"","24 Jan 2026","what are you even talking about dude... 
> A perfect phone currently is around 6.7 inch 
- not everyone has big hands 
> iphones only work well in cold climate well  
- source: you made it up 
> The only thing you need in android phone is subscribe a antivirus security - why do you even pay for antivirus in the year 2026, and especially on android, antivirus has NEVER been required on android phone... 
> As from 2030 all current devices are going to be obsolete as all devices will be new tech new os complete ai.  
- what are you even trying to say????"
"Anonymous","13 Oct 2025","This is bad take. This is probably the best deal in years from iphone. 
 
256GB base storage, 120Hz screen, AOD, 3000 nits peak brightness, 2x faster charging, magsafe support. I would say this model is far better option for most iphone customers. PRO is no longer so pro"
"","22 Sep 2025","Haha  still USB 2.0 with 85k INR price and in 2025 , WOW"
"Apple User","21 Sep 2025","6.3"" is the most compact size, its not big, and its not small. This is the golden midway."
"","20 Sep 2025","This phone is killing it. Apple had to increase production due to high demand... It'll be the best-selling phone by Christmas... I've said that since it was introduced. I don't like small phones, and even I'm tempted, at least as a secondary phone."
"Anonymous","18 Sep 2025","They finally did something good for the base iPhone. I'm sure that it'll be the most selling base iPhone in history,."
"","16 Sep 2025","iPhone 16 Plus (4674mAh) - 18:49h in battery life test, Xiaomi 15 (5240mAh) - 16:28h. So, Xiaomi is 30% less efficient. Difference will likely be even bigger with iPhone 17."
"Voltex","15 Sep 2025","it wouldn't matter if a phone had 4200 mah but bad optimization, eitherway i'd rather have apple's optimization with it's batteries rather than high-cap phones but mediocre power management"
"","15 Sep 2025","Yea, better screen, battery, slightly more powerful, better front camera"
"Bruno Banani","12 Sep 2025","When will Apple finally start putting proper batteries in their base models? 3,692 mAh in the base iPhone 17 is just a joke. It should be at least 5,000 mAh — only then would it truly be a hit among hits."
"Anonymous","10 Sep 2025","Dual capture: 
S4 had this in 2013."
"Adel","10 Sep 2025","I believe this is the best overall iPhone of the year. It maintains the same price as the previous generation, but comes with a better display (ProMotion), an improved camera system, faster charging, and enhanced performance. Additionally, the base model now includes 256GB of storage, making it a good value in the lineup this year. I wish they kept the plus, though."
"Ravi yadav","10 Sep 2025","3692 mah battery? Some kind of a joke is it"
"","10 Sep 2025","They do. All of the 4 models have antireflective coating."
