uname2,upost,uopin
Sam A55 User,07-Apr-26,"Yeah... bye, bye IP68 protection, bye, bye Corning Gorilla Glass Victus+, bye, bye gaming and smooth performance (Nano Review saying Exynos is better), bye, bye 5000 mAh battery with 45 Watt charging... :D Great choice :D If to say honest, always is good to choice to not Chinese, so Google Pixels is better choice neither Chinese crap."
,07-Apr-26,Your comment is 4 years out of date.
,26-Mar-26,50k INR after discount for this BS A57. S24 SD was 40k INR 5 months back. Samsung has lost their way. LOL. They will end up selling it for under 30k in couple of months after realizing that no one is buying this piece of junk.
uranvel,29-Dec-25,"TF? , No one’s asking for mini phones in 2026, it’s all about going bigger."
,13-Apr-26,As someone who has used the Galaxy A17 I can confirm that One UI 8 has no ads.
Sam A55 User,05-Apr-26,"Why Chinese fans here always cry about Chinese phones? If you like it, enjoy, why need here always to cry about that? Samsung fans will not buy Chinese phones, you can cry here how long you want."
,26-Mar-26,"The A56 is an infinitely better buy for that price, especially if you change phones every 2 years."
Not-Sam,25-Mar-26,"A57 brought: 
- Physical proximity sensor (confirmed by teardowns) 
- Seamless “blur-free” camera lens switching animations between lenses 
- Instant shutter speed for taking photos down to 230ms 
- 13% Larger Vapor chamber under the hood 
- Thinner bezels, slimmer build 
 
- LPPDR5X memory speeds (compared to LPPDR5, but we may or may not get that depending on the storage configuration) 
- UFS 4.1 (compared to UFS 3.1 (but we may or may not get that depending on the storage configuration) 
 
- Updated 5G Modem/Antenna design with “5G NR FR1” & “FR2” in addition to “LTE CAT 18” support 
 
However, they swapped one efficiency core for a performance core so I don’t know if battery life is worse ??? 
 
There also appears to be a tiny empty space above the battery according to teardowns, so that could hint at next year’s A58 getting either a larger battery & or a Telephoto lens. We’ll see!"
,24-Dec-25,"Samsung is clearly going backwards, not forwards. 
Years ago, the Galaxy A30 offered 2 SIM cards + SD card with no drama. 
Fast forward to today and the situation is embarrassing: 
A34: you must choose between SIM 2 or SD card 
A36: no SD card at all 
A57: only one SIM card 
So with every new generation, users get less freedom, fewer features, and more restrictions. 
This is not innovation. 
This is the same failed Apple-style policy: remove basic features, limit user choice, and force people to pay more for storage and “premium” options. 
The problem? 
Samsung is not Apple, and mid-range users don’t want Apple’s limitations. 
They want practicality, flexibility, and real value. 
Because of these decisions: 
Many users will move away from Samsung 
Brands like Xiaomi and Realme now offer better value, more features, and more respect for users 
Samsung is slowly killing what made the A-series popular in the first place 
Removing features is not progress. 
Copying Apple’s worst ideas is not strategy. 
And ignoring real user needs is how brands lose loyalty. 
If this continues, Samsung won’t lose to Apple — 
it will lose to Xiaomi and Realme."
,23-Dec-25,"Nothing from category A or M is worth buying no matter how capable the phone is.. 
The AppCloud scandal will haunt Samsung forever.... unfortunately"
Sam A55 User,05-May-26,"My advice to wait a little bit till price will drops, today this model is to expensive and not worth it it price. Also you can buy for the same price S24 Plus, S25 Edge or something like this. They will not be like Ultra, but will be great for many years. When A57 will not be so cool."
LoL,25-Apr-26,"""Chinese phones, long time every with brain know that, is good only on paper, but after some months, years they becoming trash."" 
 
Nah. My Poco F5 running smooth even after almost 3 years of heavy usage. I even played GTA 5 using emulator, which is impossible on your phone because crappynos. You clearly don't have brain if you say chinese phones are trash. Also, My Poco is light years ahead from your garbage phone called A55"
Anonymous,06-Apr-26,At this point? Im tired. I've had Exynos and had no issues. It used to have in the past but now the hate is extremly forced and people just repeat outdated information and stereotypes.
Sam A55 User,03-Apr-26,"Why China Fan Boys always here coming to advertise trash like Xiaomi? It first at all working with Russian, seconds most who tried Xiaomi running to Samsung now. Only few maybe staying with Xiaomi. It's terrible brand and their support."
Anonymous,31-Mar-26,"Got it, youve never daily used a hyperos3 device. And cheap plastic? The poco x8 pro right now is like 320 euro and is full glass/aluminium? The a37 is like 450 euro and plastic. What are you on about?"
,31-Mar-26,Exunos is great. You are living in the past. No overheating issues and signal is fine stop lying and if you don't like it then it's your problem go somewhere else to cry about it. You are behaving like a spoiled baby grow up. If you are poor and you think it's very expensive then go find a job.
