"upost","uopin","uname2"
"13 Oct 2025","Please bring back 1 inch type sensors, they are simply better at night photography as in x100 ultra. (Though it's Sony's problem for not making better 1 inch type sensors anymore. Probably because the brands don't like the complexity to implement those behemoths)",""
"13 Oct 2025","It is not worth upgrading from the X200 Ultra to the X300 Pro at all and I don't think it will be worth upgrading to the X300 Ultra either as the owner of an X200 Ultra that I am.",""
"23 Oct 2025","Half the price, colder, with a real battery & tech.","Anonymous"
"14 Oct 2025","Isn't Vivo going to release Origin OS 6 globally?","Arliesz"
"13 Oct 2025","This doesn't look to be a worthy one-year upgrade over the X200 Pro. I guess the only reason to get this is the X200 Ultra's external teleconverter lens compatibility, assuming it's not compatible with the vanilla X300. If the external lens is also compatible with the vanilla X300, then I see even less reason to get this.",""
"13 Jan 2026","The main reason I bought this phone is the potential for doubled storage performance via a dual UFS controller. It’s essentially like having RAID-0 over MTD, with no hiccups during sustained writes such as recording high-resolution 8K HDR 120-fps video, where most other phones (including iPhones) give up within the first 30 seconds.",""
"27 Nov 2025","if you love photograpy until pixel peeping go for x300pro, but for most user s25 ultra is more than enough with (better) versatile Ai, stable OS, longger software support. And the camera performance actually not day & night compare to X300pro","Anonymous"
"10 Nov 2025","have you ever seen a guy using an iphone 15 up to 17 using the caption button like iphone has one of the best cameras and they have the caption button but nobody uses it",""
"03 Nov 2025","Get a white case","Anonymous"
"18 Oct 2025","226gr?! Very funny... Include case MIN. 250gr?! 
 
Only dumb people use It.. 
 
Mobile phone these times very2 confusing.. I DONT WANT ENTER THE RACE.. 
 
Better wait until they realized that people need compact phone which fit on pocket?! 6inch mAx. IS the best size for all. 
 
Not many people use high end phone for gaming.. Trust me?!","Mamat saw"
"14 Oct 2025","Also, this doesn't even have the dark blue colour choice like its previous iteration. Just a bunch of pedestrian pastel colours that look a little too generic for my tastes.",""
"13 Oct 2025","Don't share any misinformation  
Vivo have already announced about there origin OS  
They want to release it globally  
And they want to end the funtouch os",""
"13 Oct 2025","Not something I would always say, but this is lowkey disappointing. Barely any upgrades from X200 Pro hardware wise. 
 
Remember the jump from X90 Pro to X100 Pro? It used to be significant.",""
"17 Jun 2026","Dimensity 9500 runs cznull.github.io better than Snapdragon 8 Elite Gen 5",""
"09 Jun 2026","Best phone","Chugga"
"01 Jun 2026","As expected, the Ultra scores lower than the Pro on DXOMark.",""
"22 May 2026","The guy never tried the Vivo, for all we know he has not even an iphone...I have the S24U, the X300pro and the X300Ultra and I don't feel any difference between the Pro and Ultra speed wise. Actually except for the minor camera advantages over the x300pro there is no reason the buy the Ultra with its SD 8 elite Gen5. Safe the money and stick with the Pro model.","Nobody"
"20 May 2026","Android 17 Beta Now Available for vivo X300 Pro","Llokoo"
"26 Apr 2026","thats really cheap and it is sold here 
for about 1111 euros for the 16 / 512 
 
!","sayabosanhidup"
"26 Apr 2026","I got Chinese version of the vivo x300 pro too for my wife... She's very happy with the camera, and I'm happy for spending $700 (256/12 version) only in AliExpress.  Showed, DXOMARK camera phone ranking and told her it's #2 in the world right now... without telling her about ultra models ( ^_^ )","Smart Hubby"
"25 Apr 2026","I bought the Chinese version of the vivo x300 pro. Given it was cheaper. And it didn't not disappoint. True some Google features like hey Google and Google timelines aren't there, but I don't mind it. The camera is great, I wish the colours of the video can be Abit better. But connection is no issues at all. Recently I went to a place where signal is very weak and the phone got almost full bars whereas my friends s24 ultra was only getting one bar.  
 
Very happy with this phone",""
"08 Apr 2026","My vivo x300 pro just arrived and I thank God that I follow my mind because I wanted to go for s26u and what surprised me is that one of there  staff told me to go and get vivo x300 pro and am surprised about this and after reading some good comments not bias one and I decided to get it , just come and see camera it mevellous all I can say is that vivo thank you","begjay"
"03 Apr 2026","LOL do you ever had a Apple or Samsung??",""
"03 Apr 2026","I'm planning to exchange my 25U for 26U but in my country 26U very expensive 489000 Pkr for 512 gb It almost $1750+ so I decide to sell my 25U around $1150 only use one month and bought Vivo x300 pro which cost me $970 16 512 model global and wow what a beautiful phone it's fast camera are awesome charging brick comes in box also got free vivo buds Im impressed with battery life. I'm happy with my decision.",""
"01 Apr 2026","Battery life for the global version is really good. Expect about two days of battery life with normal use.","User"
"23 Mar 2026","To the Global version users, how's the overall battery life of the X300 Pro?","Anonymous"
"23 Mar 2026","You know what's junk? An overpriced Apple product that takes mediocre photos!","Anonymous"
"21 Mar 2026","are you like twelve","Anonymous"
"18 Mar 2026","I'd rather buy the iPhone 17 pro max than this piece of junk, like seriously who on earth would buy this over Samsung or IPhone like seriously??? is there something wrong in your head??","Anonymous"
"16 Mar 2026","Your 17 Pro Max sucks to be honest. Better at what? Considering how expensive that Apple brick is, it's not even worth anyone's money. Worst camera among flagships nowadays except for selfies.","Anonymous"
"15 Mar 2026","You could've gotten the FunTouch OS global model yk?",""
"15 Mar 2026","Bruh which year are you stuck in😭🙏💀🥀💔","Anonymous"
"12 Mar 2026","Will this support the 400mm telephoto lens of x300 ultra?","Anonymous"
"11 Mar 2026","Bad performance for its price, why still using mediatek. overheat fast and poor performance, for camera quality the iphone 17 pro max is better for me","Anonymous"
"09 Mar 2026","Bro I think you are not supposed to be here pls go back to 2015","Series"
"06 Mar 2026","I got the 16 + 512 as a replacement for my Huawei P30 Pro and I think it was the right choice. The camera has exceeded all my expectations and has been the selling point for me, the videos online don't really state enough about how good it is. At night the pictures have AI enhancement but they don't feel too artificial. Otherwise the phone is fast and has a lot of custom features like every flagship should have.","Nikola"
"27 Feb 2026","It'a in Bulgary","Anonymous"
"24 Feb 2026","what about other problems i mentioned in my review??","Ron"
"22 Feb 2026","i have to disagree using my OTG and playing uhd vids all the time with its own player","j"
"19 Feb 2026","origin o.s is full of bugs!. had this phone for a week and sold it.the native video player cant play uhd videos properly and i had to install vlc to fix that!. it does not support otg even after enabling it in settings and i had to install another file manager to read otg!. the double tap to wake screen doesnt work when phone goes into deep sleep. wireless and reverse wireless charing disconnects after few minutes even when another device is being charged!. the battery is good until 50% then it starts dropping fast!!. the camera is just good without a i. its not worth the price at all.horrible unoptimised software!.","Ron"
"29 Jan 2026","Actually ive never seen such a gorgeous phone and thé photo are another level btw the baterie is amazing and the os too bc ive Tested other brand and this one is by far the best","Bdd"
"29 Jan 2026","I purchased the X300 pro CN version. Didn't come with Google services installed. But it's simple to activate it in settings and downloaded the play store. All Apps work great and day to day performance is excellent.  
 
I get all Google app updates without any issues. As coming from pixel and Samsung some base features are missing, like circle to search and Google voice commands. But those can be sorted out with mapping the Side button. And 3rd party apps.  
 
Camera is simply flawless and amazing. And I used an S24 ultra. It's far better in every way. Only things is the AI tends to overprocess images.  
 
But other than that everything works great.",""
"29 Jan 2026","But from reviews I have seen on the internet they are praising it for great photos and zoom pics and overall better than Iphone 17 Pro Max and Samsung S25 Ultra, so if this is the case then it would be worth the price.",""
"29 Jan 2026","I've seen and read a lot of reviews about this phone. I downloaded some ""raw"" format photos shared by certain people to judge for myself. As for the video quality, even GSMArena points out that it lacks detail, especially in low light. PhoneArena doesn't rate it well for those reasons. On YouTube, you can watch videos and honestly, they clearly lack detail—especially in 4K at 60fps. 
On the other hand, I had the Oppo Find X8U, and it takes a much more natural approach, with less post-processing. I've had many different phones, and I currently own the Xiaomi 14 Ultra. Personally, aside from Apple, the video quality of the Oppo Find X8U is the best I've ever seen on Android. I'm not talking about Huawei, which is out of the game due to the Google ban. 
Watch these videos. Apart from the main sensor (only in 4K30), if you think the quality is sufficient, I don’t share that opinion:  
  
 
That said, I never claimed the X300 Pro was bad—I'm just saying that, in my opinion, it's not worth its price.",""
"28 Jan 2026","Have you used Vivo X300 Pro or just saying by yourself?",""
"28 Jan 2026","Hi, do netlix on x300 pro chinese rom supports 1080p? Also, does it need region unlocking?","faridis98"
"27 Jan 2026","I really don’t understand its score or its position in the ranking of the best camera smartphones. The images are oversharpened. Faces are artificially beautified (even if you can disable the option). And above all, the video quality is clearly insufficient for a smartphone sold for €1399 in Europe. The 4K60 footage is soft, and the 4K30 fps is just barely acceptable. It was already the same with the X200 Ultra — Vivo’s video quality is not good enough for the price. Meanwhile, the Oppo Find X8 Ultra, which offers two levels of native zoom and video quality far superior to the X300 Pro, is missing from the ranking… I don’t get it.",""
"24 Jan 2026","What should have been a normal experience turned into a rewarding one; the feeling of the cameras in nature is simply incredible. I have no complaints about the cameras.","Femboy"
"24 Jan 2026","EU",""
"18 Jan 2026","See this is exactly what Motorola Edge 70 Ultra should've been. 
Motorola Edge 70 Ultra is 7 mm thick and has a 5200mAh battery. 
When they should've made it 8mm thick. 
Then it could easily have a 6500mAh battery too. 
Or at least 6000. 
Motorola Edge 70 Ultra is not going to be a bad device and the phone will have others like 1024 gigabyte model globally and nice seven years Android updates, but the battery should've been a lot bigger. 
6.8 inches wide already, but the thickness is ridiculous really. 
Should be 8mm, 6500mAh and I'd absolutely instantly get it. 
Vivo X300 Pro also has a downgraded battery in Europe, less android updates and limited storage to 512 gigabytes. 
Dam I don't know what to get. 
Xiaomi 17 Ultra I fear will only have four years Android updates which is not enough not even close.",""
"16 Jan 2026","Good day. This is under the written review.                                                                                           vivo X300 Pro battery life 
The X300 Pro's battery capacity is a bit of a contentious topic. In China and many other markets, the phone comes with a 6,510mAh battery, but in the EU its capacity is just 5,440mAh, and that's the version we've tested.","Gab42"
"14 Jan 2026","Was the battery test done on the global version or EU?",""
"13 Jan 2026","1.5x battery capacity of Find X9 pro vs 2x UFS performance of dual UFS Vivo X300 Pro. 
This is a new innovation 1st time in smartphone storage.",""
"11 Jan 2026","I think oppo find x9 pro does a better job with it's battery life","Anonymous"
"05 Jan 2026","I tested the camera with the binocular for the zoom lens, since they have those on display in the shops here (china), its works really well and pictures are crisp. 
Its not something you'd carry around with you all the time. However when installed, it does interfere with the other lenses so to to take regular pictures it needs to come off again","Dude in China"
"04 Jan 2026","only in China","Anonymous"
"31 Dec 2025","That's why it was crowned ""Phone of the year"" by top YouTubers.",""
"29 Dec 2025","Too late, we already got the Xiaomi 17 Pro Max.",""
"28 Dec 2025","This site shows that this phone is available 16GB RAM & 1TB Storage. Where is it available??","Govind"
"28 Dec 2025","Upgraded from a S24 Ultra to this and this thing is a beast specially when it comes to camera","Anonymous"
"23 Dec 2025","bought this phone last month coming from samsung phones all these while and my last one was S22+.  
 
I don't game on my phones so here is my general usage review after using this phone for 1 month+: 
+ camera hardware is much better than samsung which has stagnated for few generations 
+ battery life is excellent. Could easily last me almost 2 days with light usage and AOD on all the time while on samsung i would have to turn on battery saver during sleep time to last a day 
- Origin OS pales in comparison to Samsung's One UI. It looks like they emphasis more on theme customizations and took heavy inspirations from Apple while still cannot get user experience to feel right. One UI is much much more polished than this. 
- i miss the One UI's gallery, keyboard, calendar and SamsungPay (which was really convenient to be able to swipe up from an off screen) 
- camera UI is confusing to use 
- ultra wide camera is an afterthought. Wished they used the one from X200U. 
- GPS lock is not as fast as Snapdragons 
- battery life takes a hit once i start using the cameras 
- basically not much third party phone cases to choose","Anonymous"
"16 Dec 2025","No, they have the same hardware except for battery capacity","Jim"
"15 Dec 2025","Sorry, my bad. I didn't looked that you meant the X300 Ultra and not the Pro.","Gab42"
"15 Dec 2025","Good day. It is Launched Globally and available. Just in my country it's ridiculosly high priced only 512Gb and 5440mAh battery.","Gab42"
"15 Dec 2025","S25U strength: no spyware and backdoors.","Simms"
"10 Dec 2025","I heard it heats much quickly?  provide opinions please",""
"08 Dec 2025","I would wait to see if they're going to launch it globally.",""
"07 Dec 2025","Lasts easily 3 days of light use, 100% to 0%. I did 3 days not so comfortably with 90 to 6%.","Anonymous"
"07 Dec 2025","Is it worth waiting for the X300 Ultra? Trying to think of what to get for my wife. She uses her phone primarily to take photos and the mainstream Samsung's and Google's suck. Her Pixel Pro 9XL has a garbage camera.",""
"07 Dec 2025","Spare some time to compare these two camera samples and video. You will definitely notice AI-ish aggressive involvement in vivo camera system. If not, take third party opinion from a pro photographer.","HiddenEmpire"
"06 Dec 2025","I have the Vivo X300 Pro. I wished I had gone for the Find X9 Pro due to its even bigger battery and better OS experience. Camera is marginally better in the Vivo X300 Pro. 
 
You can go for the S24 Ultra if you value resale value, better speakers and voice isolating mics as these are not flagship level good in the Oppo's and Vivo's. For everything else, choose Oppo Find X9 Pro.","Suv"
"06 Dec 2025","S25U strengths: 
- Better OS/UI 
- Better Speakers (bigger sound stage) 
- Better voice isolating mics, hence better for vlogging style videos 
- Slightly better anti-glare display 
- Better resale value 
- Better screen protection on paper 
 
X300 Pro strengths: 
- Better camera (if not the best this year) 
- Better battery (if you get the non-EU global version) 
- Better haptics 
- Less restrictive OS allowing you to clean almost all preinstalled junks you don't need. 
- Feels more comfortable to hold 
- Configurable side button.","Suv"
"06 Dec 2025","It's better. You can configure the physical shortcut button to your liking. I have press and hold configured to bring up Google wallet and double press to bring up the Camera.","Suv"
"06 Dec 2025","I have the Chinese version. Lasts 1.5 days with heavy use. Would easily last 2 days with light to moderate use.","Suv"
"06 Dec 2025","Origin OS global version seems to be Funtouch OS+. 
But I have the Chinese version and the Origin OS in Chinese ROM is much better. It is not at the level of OneUI or Colour OS, but it will get there if they choose to make some refinements.","Suv"
"06 Dec 2025","Android Auto - Yes. you can enable it after enabling google services.  
Google Wallet - Yes. It works. But not all bank cards may be supported. You may have to call the bank to check if they can allow it, I have got 2 of 3 my bank cards working. Every other stuff works.","Suv"
"05 Dec 2025","well thats true. Vivo offers only 350$ for their last year x200 pro which is pathetic. You are the joke here.",""
"04 Dec 2025","Why do you like your own comments with a different, yet also pretty much the same username? Really weird!","Hugo Bertsen"
"04 Dec 2025","Joke of the year !! 😂😂😂",""
"04 Dec 2025","Mate I have s25 ultra the only reason I bought is coz it's significantly cheaper than vivo x300 pro in my country. It don't have any benefits over it other than price","Dupan"
"03 Dec 2025","Go for s25 ultra. You won't regret, especially its polished UI, haptics, and after sales demand.","HiddenEmpire"
"03 Dec 2025","The camera sensor specs are same. Then how it is classified better than vivo x200 pro? Vivo x200 pro is used just 3 days and sold on loss. Pixel peeping just gives a sh*t. Too aggressive sharpening and AI involvement. Still using my s23 Ultra.","HiddenEmpire"
"03 Dec 2025","You still stuck on 2018, bro? Mediatek has improved so much over the past years. Just admit you're a hater haha..","ShazPx"
"02 Dec 2025","i am first time user of Vivo  phones. i have been using iphone for last 10 years. this phone is best camera phone i have ever used. 2 days battery life even with heavy use. excellent display. light weight, Excellent sound from speakers and via bluetooth as well. Best finish. we are just wasting money on apple................................ much better feeling than samsung phones............... great device with great value.","Anonymous"
"02 Dec 2025","Good phone,good camera,Bad chipset.. Mediatek always drain battery so fast and heats up too..Too bad for bad endurance","Xie Seiw"
"01 Dec 2025","And what about other aspects?","Sanju"
"01 Dec 2025","Do you have an USB-C to HDMI adapter? Want to know if this phone has DisplayPort out.","Anonymous"
"30 Nov 2025","Yes there is, I am using in Lithuania and it works perfectly fine with my BMW f11 2013 year. With android installed... Google pay works flawless!","Anonymous"
"30 Nov 2025","Can't even beat s25 10.2k g6 score","Anonymous"
"29 Nov 2025","Is there android auto and Google wallet support in the Chinese ROM version",""
"27 Nov 2025","It's for the EU version. I believe GSM is based in USA or Canada, so they can't get global variant, only EU one.","Anonymous"
"27 Nov 2025","While still costing 1300 euros in Europe with a lot of downgrades and not charger and a smaller cell, at least for EU they kept the 1600-2000 cycle battery cell and not standard 500-800 Lithium Polymer one.","Anonymous"
"27 Nov 2025","It's day and night. S25U and 17 Pro Max take shitty photos. And the software support is completely the same. I bought S23U when it came out , didn't like it , gave it to my mom and when I am doing maintenance on the phone, the updates seem to never want to come on time, exactly the same situation with Xiaomi. And besides S25U is 1500 euros vs 759 for this, almost 2x cheaper yet better and a faster SOC too.","Anonymous"
"27 Nov 2025","Just got the phone and wow, what an experience it, my last flagship I got was S9+ was a terrible experience in contrast to this, plus it was 200 euros extra expensive. Even my mid to higher range phone previously I had now doesn't stand a chance. 
 
The camera in night time , just wow. Genuinely this is the best phone on the market right now, I wish I have met Vivo sooner. Now I want to completely move to Vivo ecosystem from Xiaomi!","Anonymous"
"27 Nov 2025","not only on photography. it's also cheaper, better battery and fast charging. so people who cares about camera, battery and money's worth will prefer this phone.","Anonymous"
"26 Nov 2025","There is n75 band in both EU and Global versions, check on official Vivo website.",""
"26 Nov 2025","There is n75 in both EU and Global versions, check official Vivo website. For some reason, the information here still hasn't been updated.","dnf1999"
"26 Nov 2025","this is supposed to be Vivos new flagship als targeting EU Marktes , yet it does not even support all bands like n75 SA which is very important in my country/ for my carrier.. 
 
very bad for a premium phone using Mediateks first mobile sub6 5CA SoC...","Lacerta"
"26 Nov 2025","To keep the cost of global version low,","Anonymous"
"24 Nov 2025","Nice and tough mode for samsung now competitor has arrived","Iqbal tak"
"24 Nov 2025","Vivo X300 Pro Chinese version has dual imaging chips while the global ones (including EU version) has only a single chip. Anyone knows why? Does it affect the image processing and quality as well?","V"
"23 Nov 2025","Which one would you choose, Vivo x300 pro or Xiaomi 15 Ultra, for taking photos in manual mode in RAW format?",""
"21 Nov 2025","Definitely",""
"21 Nov 2025","X300pro 10 times better than s25 ultra,even x200 pro is much better,used both personally",""
