uname2,upost,uopin
Paijo,06-Mar-25,"No slot Micro SD? 
Skip..."
hh,14-Jul-25,"its you that need to grow up, 3mm audio port is needed , some people gets headaches of wireless headsets 
what more expensive ? 
you have no idea !!!!"
,04-Jul-25,Micro SD is not obsolete and will never be. Those greedy company just wanted you to believe it. I have mine for literal decade now and still going strong. I also have a portable type c male ssd for gaming and archieving purposes but I have my phone with Sd card in it too.
The Critic,22-Apr-25,Why don't you anti Samsung consumers stay on your respective pages?
,20-Apr-25,Which Chinese phone brand provides 6 years of OS and 6 years of security updates?
Exonix,28-Feb-25,"No card slot?? Seriously?? I don't believe... it must support this, otherwise I will not buy it..."
,05-Apr-26,Because it has more value for money than A57
Braxton,14-Jul-25,"Outdated? You do realize you can buy SD cards up to 1.5 TB in size from Sandisk, don't you? That's quite a bit more storage than ANY modern phone has WITHOUT expansion."
,22-Apr-25,"Fact is not important, the point is ""people's believe.""  
 
Unless hard proven otherwise, changing people's perception is not easy."
FinskCommentorr,26-Mar-25,"It’s not useless. If your information is in cloud you can’t access it offline and you don’t own the physical data where you want. With an SD card you can carry all the files with you, port them into any device that supports SD cards. No login to anything."
,26-Mar-25,"Cloud security is compromise, better not to store sensitive information inside or at least if you need to, should be double encrypted with your own key. 
 
For me, I choose to setup mini server at my home and only share few with public IP and put strong multi-phases authentication. 
 
With that I can still access non sensitive information overseas and keep personal ones locally."
,21-Mar-25,"""They said majority of customers no longer uses Micro SD"".  
 
But, of course, they can say that the majority of customers cannot use Micro SD if there is no phone with Micro SD for customers to buy..."
StefanP,06-Mar-25,"Display 385ppi (shame), charging speed 68 min (slow for 2025. standards) No microSD, no wi-fi 7, average camera sistem, average CPU..."
hamid,28-Feb-25,"As a A55 user, I think A56 is not an upgrade. only 45 w charging. 
I wont upgrade A55 to A56 this year. 
 
also 6 years update is joke! One Ui 7 showed that Samsung does not have serious commiment."
Anonymous,27-Feb-25,"Same cameras as last year 
No SD Slot 
Downgrade from Victus+ to Victus 
No 512GB version 
No 4K@60fps 
Think it's a skip from me..."
really,27-Feb-25,No card slot = definite pass by me.
Rayhan,27-Feb-25,"I am using A55, I am waiting for A56 but, due to lack of SD Card Slot, I have to skip it."
Damm,27-Feb-25,No card slot not buy
Anonymous,27-Feb-25,"No SD slot? Are they for real? This is a dealbreaker for me. 
If it's true, I guess my A54 will be my last Samsung"
Anonymous,27-Feb-25,"Don't be fooled by corporate bro, no SD slot but only up to 256GB storage is a joke especially for people who needs to takes photo and video almost everyday for work purposes or anything, not to mentions nowadays app takes Gigabytes. At least put 12/512GB offer."
a52user,26-Feb-25,"no audio jack 
no sdcard slot 
 
so its a downgrade from a52s for more money"
Sankor,14-Apr-26,"Peak A series= A56 
Peak S series= S24 ultra"
Anonymous,29-Nov-25,A56 its big and heavy vs A52s very dificult to operate with one single hand
,13-Nov-25,"As someone who's used both Samsung's flagship Galaxy S series and one of its best midrange phones, the Galaxy A52s, I can confidently say this device ticks all the boxes for anyone who wants flagship-level performance at a more affordable price. The chipset runs smoothly. I'm not a gamer, but I played COD Mobile twice and it handled it with no issues. The battery life is impressive too, it easily lasts a full day, no cap. After the A52s, this is hands down the best A series phone Samsung has released. Just make sure you go for the 8GB/256GB variant, totally worth it. 👌🏾"
,12-Nov-25,"Lol! How for whom. I haven't managed to fill up my 32 GB SD card in 10 years of switching from phone to phone. I only kept the essentials and cleaned out the trash. I have 256 GB on the A56 and I won't even fill it halfway if I have the phone for life. For some, even a 1TB card isn't enough for a year. That's why it's relative because we all use our phones in different ways."
Anonymous,25-Oct-25,most people love bigger display (i also)
hamid,09-Sep-25,"I have A56 256/8 GB White from May 2025, I conclude that it is great phone. 
Build quality is very good. 
Cameras are good but not high level. 
Battery life is very good. 
Totally is great phone for normal user that does not play games."
,02-Aug-25,maybe i'll keep my a55 little bit longer. no sd card slot is a deal breaker for me
Anonymous,16-Jul-25,"""Samsung will not change its upgrade policy in the future!!??"" 
They never changed it during the ""life cycle"" of any of their mobile phone recently. They increased it since s24u. For now they always followed their OS upgrades promises. 
 
""I think this upgrade policy is just for marketing!!"" 
What makes you think that?"
,15-Jul-25,"This A56 will receive up to 6 major upgrades, until 2031! 
Will A56 be working fine until 2031? With no problems or any battery problems! 
Samsung will not change its upgrade policy in the future!!?? 
I think this upgrade policy is just for marketing!!"
,21-Apr-25,Not everyone needs massive gaming performance nor the need for it in end of the day it's still a phone it can't replace my pc
,07-Apr-25,"Simple answer, it's set to be like that to ensure you did not overcharge. 
 
We all know keep overcharging battery will reduce it's lifetime faster. 
 
Solution: Set the battery protection to make sure it's stop charging around 80%, we can configure it in the setting. 
 
If we start charging from 20%, it will be completed in around 30-40 minutes (I'm using 25W charger)."
Anonymous,07-Apr-25,"im laughing about the others complaining about it, i dont need it, usb-c flashdisk ftw"
Anonymous,06-Apr-25,Is this serious? It is obviously a downgrade. Lol
,22-Mar-25,"Yep. It is still a beast. Poco F7 Ultra is also a quite nice option. But I'm sick and tired of Poco's update policies. 3 years of OS updates for phone with a high end chipset should be a crime.  
6 Years of OS update is what makes A56 so much value for Money."
Anonymous,22-Mar-25,"- no dedicated microsd card 
- no 3.5 mm audio plug 
- no radio 
- no ir blaster 
- not impressive camera 
- getting more expensive 
samsung keeps really don't care about customer want and/or GSMArena review 
what a waste"
,06-Mar-25,"No sd card !!! 
i will not buy this shit"
Anonymous,06-Mar-25,only dedicated SD card slot required with dual sim
,03-Mar-25,R.I.P Card slot. 💐😔
,02-Mar-25,"terrible phone ""b- but 45 watts charging"" it doesnt change anything, it is such a downgrade! No micro SD, worse selfie camera, ""but- t 6,7 inches super amoled screen"" still 4k but 30fps only, usbc 2.0, ugly colors, the same design, no 8mp macro, dude it is literally the same but downgraded phone, smth like samsung a54 or a53, i thought apple was the only one to disappoint us with iphone 16e."
Chesarato,01-Mar-25,"It will not have MicroSD Card Slot. 
It will not have USB C 3.1 or 3.2 with Display Port. 
It is Worthless !!!"
Kenyan,27-Feb-25,"Samsung's playing with us at this point,i mean i better buy a 2022 phone and assume none has ever been produced since then"
Anonymous,27-Feb-25,Samsung Galaxy a56 is bad.
Anonymous,27-Feb-25,If it doesn't have an SD slot or a headphone jack what's even the point of a midrange phone?
Oof,27-Feb-25,they removed one thing that made the A5x series sell well and that is the SD card slot :(((
Anonymous,27-Feb-25,"Looks premium but with minor upgrades and no SD slot, I'm afraid I am going to have to skip yet again"
Anonymous,27-Feb-25,No SD Slot? I might as well just grab the A55 from last year or even the S24 FE at this point.
Babak,27-Feb-25,"no sd card is a no go for me, this series special option was that sd card support which they have removed it"
Pk,27-Feb-25,No sd card slot= no buy
bumface,26-Feb-25,No more SD expansions for A series? Bye bye Samsung hello Sony
Anonymous,26-Feb-25,No microSD is a dealbreaker for me. Guess I'll have to move to Sony.
Anonymous,26-Jan-25,"Who have Samsung A55 don't waste your money or time, who have others - it's very good version which could be reviewed or bought. Minimal changes compare with A55."
Nwz,07-Jan-25,Virtual proximity sensing in 2025 should be considered a criminal offence.
,03-Jan-25,It's about time Samsung does away with the 5 MP macro crap. That pointless cost could better be saved or spent elsewhere
