uname2,upost,uopin
Knock,25-Feb-26,Instead of 7.9 mm they need to add 6000mah battery with same 8.2mm like S25 ultra.
,04-Jan-26,"If these are the real specs then it's pretty disappointing! No innovation in terms of design, battery still the same, same cameras which have been a let down compared to other brands, same boring colors. That's why I haven't upgraded since the S22 Ultra which still holds up pretty well even in 2026. This one's basically a new version of S25 Ultra with a higher price."
Frogger,26-Feb-26,"$2000 for a 5000mah battery? 
And a privacy function which I can spend $1 to buy the privacy screen protector.  
Samsung u are gone"
Anonymous,14-Jan-26,"By the time this s26 ultra releases, first of all looking at the specs comparing to other phones from honor,xiaomi, oppo, vivo, oneplus, omg who would have thought even motorola, this is not a flagship anymore, its like a mid range phone, other phones have crossed 8000 nits brightness, 10000mah battery upwards, all cameras of other brands offering 50megapixels all lenses, fastest charging 100w upwards some even with a charger, 4 to 7 years android/security/os updates. Cheaper battery replacement costs, screen replacement costs. 144hz 165hz screen crazy high pwm dimming safe for eyes displays & others also getting great Ai, Price less than samsung. Samsung doesnt have high end flagship phones anymore from 2026. Easily now 3 years behind samsung."
,26-Feb-26,no silicon carbon battery   10mp telephoto    same everything else   and costs more LOL
GroovyStarlight,25-Feb-26,"Reading this from my S24 Ultra the one and only with a Bluetooth S Pen, and NO Plans to upgrade. S26 Ultra doesn't offer anything different than a new chipset and privacy display."
,15-Feb-26,"The silicon carbon tech is out for 3 years already. What you said is rubbish because Oppo Vivo Oneplus Realme and Honor are using those silicon carbon battery. 
 
It's only pure silicon who expand but manufacturers add carbon to tackle this drawbacks. Samsung isn't using silicon carbon tech because they want only their profits and don't want the best for consumers !!"
Anonymous,27-Mar-26,"Pure fanboy, world conspiracy against Samsung. Talking for everything, discussing people, but not facts. Ignoring all facts from independent sources regarding 8bit dimmer ugly screen with privacy gimmick, old tech low capacity battery in comparison with the competition, old tech average cameras in comparison with the competition, older memory in comparison with the competition, average speakers, etc. You may ignore facts but market is clear. Samsung lost its first place in mobile phones sales last year. It sales within Android phones markets are stable decreasing last 3 years, going down from 34% in 2023 to 30% in 2025, etc. Yes, 5 or 10 years ago Samsung offered best phones. After decision to scratch its most advanced series - Notes, everything went in wrong direction. Minor gimmick changes in Ultra series, foldable phones where Chinese are much better, S25 Edge epic fail and so on. Fanboy, keep ignoring facts, market data is clear."
,04-Mar-26,This company has become a scam.
Core,16-Feb-26,"Thanks for the list. I do suppose they should at least be able to squeeze in a few hundred mAh, but I think the S-pen is what compromises this the most. 
 
That said, it could be 5500 mAh and people would ridicule the phone all the same lol"
supafly99,18-Jan-26,"Bye bye Samsung,i had the S7edge,and the S10+,and bought me the S23Ultra.the Pics were a disaster.I made some comparsion Pics with the S10+,and the S10+,had on almost the better Pics.People in Forums didnt believed me till i uploaded the Pics.(max 2xzoom on both phones).and for this trash i paid 1400 Swiss Franks.had to install the gcam mod LMC8.4 to become good Pics,not like the overexposed and oversharpened s23u, and the white balance is a disaster. 
 
 
my next phone will be the Vivo x300pro/ultra or the Oppo find x9 pro/ultra."
,04-May-26,"Depends on your priorities and availability in your region. If you want something reliable and stable then S26U, and if you want something exciting and flashy then go for 17U."
Anonymous,02-May-26,Stop posting BS. None of what you said is true. Claiming Samsung phones die in 3hrs is just so stupid. And claiming 100W charging doesn't make the phone hot is just ignorance. You really don't know anything. Just a professional troll for several months now.
Anonymous,30-Mar-26,For all denying S26u screen issues:
Anonymous,23-Mar-26,"What somebody looking to buy or not to buy S26U should do is to not listen to fan boys. There are many independent reviewers and they discussed every important detail about S26U. What are facts: 
 
1. Display: 8bit with a gimmick called privacy display. If that gimmick is on, display becomes ugly and dim. Something more, even if the gimmick is off, display is worse in comparison with S25U. In fact, S26U display is below all displays of recently released flagship phones and there is not need even to read reviews about this - just go to any shop and compare. By the way, Samsung does not care about eyes of its customers and continue to supply screens with low frequency PWM which issue was successfully solved by Chinese brands. 
 
2. Battery: low capacity 5'000mAh with greatly reduced life, from 2'000 cycles for S25U to 1'200 cycles for S26U. It is likely Samsung just to have a lot of same old batteries in stock because of not so great sales of S25U. There is no need to compare with the competition, SOT is well below recent flagships from other brands. 
 
3. Cameras: 3-4 years without development, average cameras, proudly 18-th place in the intensive DXOmark testing, and it is not DXOmark only, just make a search. S26U cameras are well bellow cameras of all other recently released flagships. 
 
4. Storage, speakers: In order to save several cents Samsung used UFS 4.0 storage, the competition is on UFS 4.1. Speakers are also average, Chinese brands are doing better :) 
 
So, average phone in any one direction, which cannot beat the competition in anything. And the only unique thing for Ultras was cut in order Samsung to save several cents, I am talking about removing Bluetooth Spen. 
 
So, S26U is an average phone at premium price, most expensive flagship of all. This is not a good deal for customers. It is very clear that this approach is leading to 2025 in which Samsung for first time since many years lost first place in sales. Because trend of releasing same phone each year with some stupid gimmicks continue, sales and market share will continue to sink. Which is actually good for customers because right now on the market there are enough better phones than S26U which are on much better prices too."
587Mbit in 5G tested,14-Mar-26,"Listen, brothers, I need to write a quick reality check for all the 'haters' stuck in the past. You guys are defending old tech like there’s no tomorrow. Wake up! Why so salty that Samsung is finally using our money to build the future? Stagnation is for screen protectors—I’m here for the revolution. 
​I’m not even a 'Samsung fanboy'—I own 8 different brands of tech—but credit where it's due. This S26 Ultra 1TB with 16GB RAM is a beast. My USB 3.2 Gen 2x2 finally launched into outer space! I’m hitting 2000 MB/s copy speeds and I’ve been waiting a lifetime for this. It actually works! 🚀 
​You guys complain about the battery? Please. Who wants to carry a 1kg brick in their pocket? I’d rather have a light, sleek phone that doesn't explode and burn down the house I’m working 24/7 to pay the mortgage on. If Samsung listened to you, they'd give us a car battery and we’d need a backpack just to make a call. 
​I jumped from a cracked S20 Ultra with 128GB that glitched every 10 seconds. Now? I’m sitting here with 1TB of pure speed. I’m not defending a brand; I’m enjoying heaven. Stay positive, keep predicting the future, and enjoy the fresh tech! Peace! ✌️speed in 5G? Its a dream im allready in like fibreoptics"
,26-Feb-26,"People should vote with their wallets. Everything we say online no matter how true won't make any smartphone maker produce better phones. So if we want to make companies like Samsung innovate once again (I don't count privacy display as innovation since that is just a different implementation of already existing concept) we should just buy phones from manufacturers who innovate or at least try to innovate. Untill then, of course Samsung will slightly upgrade their phones each year because they know they can afford that."
,26-Feb-26,"iphone got titanium frame, Samsung followed.   
iphone went back to aluminium, Samsung followed.  
So predictable, from innovative leader to desperate follower."
Anonymous,12-Jan-26,"I switched from a S23 Ultra to a Xiaomi 15 Ultra. Besides having a new battery and slightly better cameras, it doesn't really do anything better than my old S23U. 
I'd say keep it another year"
ur uncle,15-Dec-25,what do you want them to do? cameras are already great the design in cool they added 60W charger what else do you need?
