"uname2","upost","uopin"
"Indonesia","13 May 2026","-5000 mah 
-30w charging 
-os 0 customization in 2026 
-1080p screen 
-no hdr 10+ screen 
-no ultrasonic fingerprint 
-same outdated 12mp front camera 
-no log support 
-1500++ $ price 
-no apv codec 
-boring OS"
"","13 May 2026","This is somewhat dissapointing ngl"
"Sawknee","13 May 2026","Flagship with earphone jack and sd card expansion slot! What a fckng W!"
"","14 May 2026","It is my phone. Which I own. Because I paid for it. Therefore you can learn to respect others opinions, and stop arguing about a product you will never buy. I own it and like it. That's my perogative. If you don't like it, don't buy a Sony, and definitely don't project your subjective tech preferences onto me. The free market exists for a reason. And that reason is to meet the needs of a wide variety of users, rather than you specifically."
"Anonymous","13 May 2026","Sony sells many niche products and has a different audience, Sony does not focus on sales, but on unique products, they still have Sony Walkman for audiophiles, Sony ES for movie and music enthusiasts, Professional Headphones, they have a different strategy than their competitors."
"Fade.","13 May 2026","Why are people complaining about the battery size? It has friking over 17 hours of screen on time. Same as many competitors over 6000mah bateries. It doesn't matter if the battery is 3000mah, if the software is optimized well enough to support the battery and still have a top tier performance."
"","20 May 2026","Yeah I also think it is a bot. 
Mocking people and their opinions. 
Very rarely a real human does those. 
And also over 50% of internet traffic is already AI and Bots. 
Bots made by the World Elite to annoy and waste real people's time that's the only purpose of bots. 
Just ignore it yeah do that. 
It's also a shame we can't REPORT trolls here. 
It would be useful, hey Admins update the site so we can report trolls, thanks."
"Gobe","18 May 2026","Ngl, if I had a budget of $1500 I wouldnt buy this piece of garbage, Id just buy an Oppo Find x9 Ultra instead, or even an Apple pro max would do it."
"Ads","14 May 2026","Except not everyone is you. And it's not like this phone is the only one doing it. Basically every flagship has 1TB storage options. Like what? The world doesn't revolve around you"
"Mkhan","13 May 2026","good old 3.5mm audio combo jack in 2026 
the OG Xperia"
"Daz","13 May 2026","I think to be unique, Sony should release a foldable smartphone, that also has a micro SD slot and a headphone jack, they could make it cheaper by having a Snapdragon 7 chip set perhaps. Anyway if they do release a Xperia 10 mark VIII - it should have a Snapdragon 7 chip set to be competitive, Snapdragon 6 chip sets are underwhelming."
"","13 May 2026","The surprising thing is that many people don't understand that Sony is quality, and it's not comparable to other models of phones. You can definitely use Sony for three to four years longer than the phones of the mentioned model... I've always had Sony and other phones, but they are different things... it's not expensive at all, the camera doesn't lose its quality over the years, the battery maintains the same quality after a few years..."
"","13 May 2026","Totally agree. There's no more unique Sony phones, we loved early days"
"","20 hours ago","Learn the exposure triangle before you talk about photography. 
Maybe take it a step further and try some actual manual photography! 
(a real dslr's lcd is usually between 2-3 inches btw so this is luxury in that regard)"
"","23 Jun 2026","I have some information for you. I just copied a 1.08GB video sample and it took me less than 10 seconds (with a stopwatch; it was ~8 - 9 seconds) to a microSD card (I used a 5Gbps USB cable). 
Kioxia V30 microSD card. So the SD card interface on the Xperia 1VIII can do 100MB/s without any problem."
"","22 Jun 2026","You are replying to bots. Ain't no way it's a real person behind this comment."
"","21 Jun 2026","Phone's specifications are Great but a big Wow for 3.5mm headphone jack and side mounted finger print sensor, not on in display, Call me old school."
"","20 Jun 2026","I'll have xperia 1VIII next week. But I don't expect the slot to be faster than 80MB/s"
"Anonymous","20 Jun 2026","What the hell is ""midrange"" about this? Top-end CPU, amazing cameras, decent battery and features alot of phones don't have. 
 
Stop ragebaiting, please,"
"Anonymous","11 Jun 2026","Same here"
"NeustadtHbf","10 Jun 2026","""microSDXC (dedicated slot)"" 
 
When was the last time we had a flagship with a dedicated card slot? We usually have this feature shared with the SIM slot. Wow, rare. The last time Sony did with its own Xperia was the whole Z5 series and partially XZ1 Compact."
"AD","10 Jun 2026","I have always loved Sony as a brand since the time I understood about this, my father gifted me a Sony Cyber shot Camera in 2007 which I upgraded later on in 2010, after getting incentive in my first job I bought a Sony PS2, even my car has Sony music system factory fitted in it, my first Android Smart phone was a Sony Xperia XZ Premium which I bought in 2017, that time it used to be available in India, not anymore though, hence my dream of upgrading to the next Sony Smart phone remained a dream & now I have switched to Apple, I would still love to use a Sony phone if this is made available in India."
"Anonymous","02 Jun 2026","But having such feature otherwise on a flagship phone is nice! Which Xperia doesn't or purposely removed even if the phone is capable of having it, that's why having SD Express Card would have made this phone a good buy considering their base model 12/256GB is already expensive as is."
"","31 May 2026","a dedicated dac really isnt necessary, a dedicated amp would be nice though 
the qcom dac's only weakness is its power, it has very nice specs otherwise"
