"uname2","upost","uopin"
"Faisal","06 May 2026","1000 Euro and Optical Fingerprint 😂"
"","08 Jun 2026","Dude 😭😭 that's Wat I said , AI is making technology expensive 😭"
"","06 May 2026","USB 2.0 
Noted"
"","06 May 2026","Still usb 2 sigh"
"","06 May 2026","1000 euro??! Holy shit what happened to xiaomi"
"Sausau","05 Jun 2026","You keep spamming ""it's crap"" just because you are a Samsung fanboy who can't accept that Chinese brands are offering better specs for a lower price. People who can afford good phones buy Xiaomi Ultras everyday. 
 
Believe your own fiction if it makes you feel better about overpaying for your phone. I'm done arguing with your ""personal experience"" statistics. Have a nice day with your Samsung!"
"Sam A55 User","05 Jun 2026","This phone is overpriced"
"Lmao","01 Jun 2026","Having USB 3.1/3.2 is a joke at this point if you dont do profesional work, most will use Dp out this is why its somewhat usefull but holy shii i had soo many problems with usb transfers over cable that i have a full of usb 3 cables and many disconnects and problems later i still use the cable in box and more stable or just FTP which is faser lmao (xiaomi 14 if wondering)"
"Blanco56","27 May 2026","The price does not justify the upgrade, 15t pro all the way"
"","25 May 2026","256gb is literally nothing these days. 512gb should become the bare minimum, but thanks to scam Altmann we can't have nice things"
"Zz","20 May 2026","1000 euro and we get USB 2.0 support. Wow"
"Anonymous","11 May 2026","to pay 1000 euros for a device with usb 2.0 it's insane!"
"","07 May 2026","Just compared this to the significantly more affordable Poco F8 Pro. And immediately notice that the Poco have better value.  
 
Even if this isn't classified as a true flagship by Xiaomi themselves, but at that price it should have more true flagship feature. 
 
Mandatory: 
- USB 3.2 
- ""Flagship-grade"" for all camera, not letting 1 or 2 cameras at the midrange class 
- Ultrasonic fingerprint scanner 
 
Optional: 
 
Bypass charging 
 
This is... practically just Xiaomi 15T Pro with 1TB storage option, bigger battery capacity and newer SoC. 
 
But, seeing it's still rumored and these are unofficial preliminary specifications, things can still change."
"","06 May 2026","1000€, Xiaomi are you insane?"
"","06 May 2026","Still usb 2.0😂😂😂😂"
"Anonymous","18 hours ago","Wrong. 
How dare you recommend Samsung over xiaomi. 
Are you Samsung employee??"
"","24 Jun 2026","I can understand what you are saying but if we want to talk about flagship we have to consider phones like samsung S26 ultra Honor magic8 pro and iphone 16 pro max. They  all have LTPO latest processor and USB 3.2. The term flagship refers to the most stacked smartphone. Xiaomi 17 ultra is a flagship but Xiami 17t pro is a midrange. At least the xiaomi 17t pro could have ultrasonic fingerprint sensor to compensate."
