uname2,upost,uopin
Anonymous,18-May-26,Garbage because it trumps most of the features of your most expensive Apple and Samsung products. Just compare the camera specs and features and you'll realize why are Apple and Samsung duping people of their hard-earned money? Shitty specs with ridiculous pricing that is so midrange in 2026. Who cares about resale value? Not all people will upgrade their phones anyway in the nearest future so what's the point in pointing that out? You sloppy fanboys are nothing but _ _ _ _.
Karp,03-May-26,"Dude there is a whole world out there, all you Indians seem to do is complain that something isn't in your market why don't you just import the phone like the rest of us?"
Mobile Photographer,06-Apr-26,"These are the comments from people who either don't take photos or have no idea. I have an x200Ultra and bought it because of my camera setup. Unfortunately, image overprocessing forces me to shoot only Raw, but the software offers so many options that I don't have to lug around my Canon 5DsR and 5kg of lenses to take a good photo."
,31-Mar-26,"Do you even need 8k slow motion? And you do realize you're never getting true 8k with phones, right? All these 200mp or 50mp sensors are only 12mp, they are binned and applying demosaic will not increase the image quality because you can't physically turn a binned sensor into a non binned sensor. Now think of it this way, instead of having one big red pixel a 200mp sensor has like 16 smaller red subpixels, and groups of 16 pixels are arranged like normal pixel in red blue and green pairs, so just because an image gets all the data for these 16 pixels instead of the average it doesn't suddenly increased iq, unlike what marketing has lead most to believe. Now 4k is 8mp and 12mp is like slightly above that, you can say like 4.2 or something, 6k is a big jump to 24mp and 8k is like 36mp, you you really can't expect phones to actually do it, and even still you end up with bigger files because of more data and higher bitrate but with no actual meaning increase in iq, so you're always better off just shooting 4k at 24fps on a phone, you don't need 60fps for normal shooting, 60fps and above is for slow mo, just a higher bitrate, so for better iq look in your settings and try to see what format offers that. Otherwise don't fall for the higher number means better, that's just marketing."
Anonymous,31-Mar-26,"your local cinema is just 1080p, at best 4k if its dolby."
Anonymous,08-Mar-26,"That's not what his test showed, but by all means please explain how the soc benchmark showed worse cameras or build quality"
,31-Dec-25,"Dude, did you even try Vivo X200 Ultra ? 
I think ... No ... 
Because, it has 200 MP sensor with x3,7, can zoom until x10 easily and provide excellent quality photos (crop + npu). 
Try before write... 
 
P.S: even during night, you will get extremely great quality."
,30-Dec-25,"you know that everything above 120hz is gaming only related right? Certain games, not all games...."
AntiPlannedObsolesce,04-Jun-26,Literally looks identical to 99.9% other phones. A rectangle with a circle
,07-Apr-26,"In my defense I did say 'for example'. You want to go 512gb? Well that gives you under half an hour still, in that hypothetical scenario. Regardless, yes, options are good, but lets not get ahead of ourselves because this phone is still, well, a phone, even if it has cameras better than anything the big lazy guys are putting out. Personally I'm celebrating that we're getting this phone globally that has literally the best cameras of any phone on the market. Sure it doesn't compare to my 5d3, but at the same time for point and shoot and similar things I'm not bringing that heavy dslr around so it's great to have a phone that actually excels at photography."
,07-Apr-26,"Yep, +1 to that, although for those kinds of high bit rate formats that quite frankly no one needs on their phone they wouldn't be able to keep up."
Aro,04-Apr-26,"To be fair, who is spending 1000+ on a flagship and going for 256gb? The device is basically DOA at 256gb, considering how much space pictures and videos would take. On the other hand, having the ability to record high quality video is not something most users will ever do, but its nice having the ability to have a decent pocket video camera, especially if the bigger sensor brings enough background blur without any funky video processing. Don't complain about options."
,02-Apr-26,"Even then, I feel you're massively underselling the size of uncompressed 8K video. It'd probably represent a heavily sub-sampled or lower bit-depth raw format. At 8-bit color, each frame is ~99 MB. At the more appropriate 10-bit color (because what are you even doing with 8-bit color at this point?), each frame is ~124 MB."
,02-Apr-26,"10mbps bitrate for 8k is a joke in terms of quality. An 8k frame is 36mb alone, 24 frames totals 864mb. Youtube for example, the bare minimum Imo, does 4k24 at 40mbps, so you're getting something akin to 1080p from youtube, aka heavily compressed. Fun fact no matter your screen's resolution use the highest res on yt solely because of the increased bitrate."
Anonymous,15-Mar-26,"Say whatever you want, but they are way better than iPhone and Samsung. 
 
I love Vivo X100 Ultra, because it uses 0 AI image processing in bright places. 
 
I will buy Vivo X300 Ultra, because it has two 200MP cameras and a 400mm teleconverter for plane photography and far away targets,  like ships. 
No, birding is not my thing. 
 
Hopefully Vivo X300 Ultra has a 35mm focal length 200MP camera, then it will be perfect for landscape photography. 
 
I don't care about the Ultra wide, it's too wide. 
 
Vivo X100 Ultra has a 85mm focal length 200MP, but 85mm focal length is not perfect for landscape photography."
Anonymous,18-Feb-26,good phone ngl
,31-Dec-25,"It's literally confirmed that the panel will be flat, thank God."
