product_name,review
ASUS TUF Gaming A15,"Within one month laptop broken💔 not good
144hz is not working properly
Other company laptop is good then this one
Don't go for this asus laptop"
ASUS TUF Gaming A15,"Value for money best quality display work without hang and lag , overroll performance is so good but bettery backup is poor arround 2-3hour"
ASUS TUF Gaming A15,Ok
ASUS TUF Gaming A15,To be honest i really loved the product it is beast value for money it's just soo gooood 🔥
ASUS TUF Gaming A15,"U can only use the laptop while charging only, don't buy this laptop if you prititize battery. I do only coding and in 1 hour 50% of battery is over. Think before buying...."
ASUS TUF Gaming A15,Product is good but not worth for money
ASUS TUF Gaming A15,"Value for money under 50k
To get battery performance use battery optimize options!!"
ASUS TUF Gaming A15,It is fully disappointed with its display....iam a graphic designer it's completely showing different colour of some original colours......if you wanted to buy this laptop for graphic designing or don't go for it.....but any other task it's is good
ASUS TUF Gaming A15,This is my first laptop in my life...so I'm very happy this product...it's really good laptop for gaming and editing🔥
ASUS TUF Gaming A15,it was a nice product but windows is making it slow gaming experiance is nice
ASUS TUF Gaming A15,"Everything is smooth. But if you face any problems, both flipkart and Asus may deny to help you to fix that issue although it is under warranty. It is better avoid this product.
Issues I faced and did not get resolution as below:
1. Laptop freezes very often . Only option is to hard power off.
2. Wifi internet gets disconnected frequently and it impacts the wifi router as well.

I raised ticket with both flipkart and Asus , but both of them couldn't help. Waste of warranty. Better you go fo...
READ MORE"
ASUS TUF Gaming A15,Ok
ASUS TUF Gaming A15,Absolute master piece for this price point
ASUS TUF Gaming A15,I'm a 3d artist so it's value for money for me
ASUS TUF Gaming A15,Good laptop
ASUS TUF Gaming A15,Great experience with this laptop
ASUS TUF Gaming A15,Superb laptop 🤩
ASUS TUF Gaming A15,"Value for money display quality and performance are amazing, overall performance is so good but battery backup is very poor around 2-3 hour"
ASUS TUF Gaming A15,"Worse laptop, very slow and buggy"
ASUS TUF Gaming A15,"I love this laptop so much🔥🔥
This is a value for money laptop 🙂👌
Thank you Flipkart or seller🙏🙏"
ASUS TUF Gaming A15,Really good performance..Thank you Flipkart...I love this product 😊.
ASUS TUF Gaming A15,"It's Best laptop for gaming with 144hz refresh rate🥵
Just a problem with its speakers, but overall performance is very high it takes constant 300+ fps in Minecraft"
ASUS TUF Gaming A15,Charger stopped working under 1 month
ASUS TUF Gaming A15,"Bought a beast...🔥🔥🔥
Don't think just go it u will never regret❣️🤙"
ASUS TUF Gaming A15,Good
ASUS TUF Gaming A15,"Best value for money product
But the battery backup is not good"
ASUS TUF Gaming A15,Total value for money
ASUS TUF Gaming A15,Battery drain really fast
ASUS TUF Gaming A15,"Great laptop, but speakers could be better."
ASUS TUF Gaming A15,Best Laptop ..
ASUS TUF Gaming A15,It's value for money best in this price range
ASUS TUF Gaming A15,leptop is fine value for money battery backup is very low but fine happy to purchase this leptop
ASUS TUF Gaming A15,"It is very smooth and too good at this price range.
All games work like cutting butter with a hot knife very smooth,applications work perfectly games like valorant,minecraft,fortnite, and gtav work too perfectly. And if you want to buy this go for it delivery was also great, great experience with the delivery agent too and overall its the best in the west."
ASUS TUF Gaming A15,Everything is great but battery should have improved
ASUS TUF Gaming A15,"I love the product, but I recently had to change my display, idk how it happened maybe due to ram or motherboard malfunction, it was the 4th day of using the laptop , i hope Asus Team put that it note plus need to give better cushioning on the laptop before packaging , as well as Team Flipkart! Since it's a really expensive product, overall I loved the product but it's taking time to repair in the Authorized service centre , hope this feedback helps the other costumers🙌🏻"
ASUS TUF Gaming A15,Tq
ASUS TUF Gaming A15,"Performance is awesome
Display is large
Nice touchpad
Sound quality is decent"
ASUS TUF Gaming A15,"I laptop got delivered yesterday. There is no doubt this this the best laptop in this price range. Ryzen 5 has integrated GPU in it , it comes very handy on different purposes.
Update after 1 month of use,
Its a budget laptop that will do most of the tasks. Can't use for heavy work. For gaming its a good choice. But the problem is it's CPU, its gets 90c easily if you put a task that is little heavy. When played pubg it gets 90c, if we use higher graphics and for physx pubg uses CPU , so the...
READ MORE"
ASUS TUF Gaming A15,I am very happy
ASUS TUF Gaming A15,Seee
ASUS TUF Gaming A15,Amazing
ASUS TUF Gaming A15,This product is very good. Runs very well.
ASUS TUF Gaming A15,The best purchase I have ever done the value of the product is extremely justify by the performance and the features we get in this laptop if you want for professional work and like editing and 3D rendering it is the go to laptop for you and if you are a gamer then definitely it's the best laptop you can buy in this price
ASUS TUF Gaming A15,Great laptop. Ips display is of very high quality. Featured packed asus tuf with full customisation.
ASUS TUF Gaming A15,"Btw!!!! A very good laptop performance is very good you can do any type of editing easily, display is also decent.. You can do colour grading and watch Netflix. And its design is also nice lookwise but for me its little bigger to hold or carry it every time and overall i loved this laptop ❤️!!!
Btw battery at silent mode is avg. If in performance mode then mkc🔋"
ASUS TUF Gaming A15,"Okay the star ratings first.
Overview - ⭐⭐⭐⭐⭐
Performance - ⭐⭐⭐⭐
Display - ⭐⭐⭐⭐
Webcam - ⭐
Microphone - ⭐⭐⭐
Sound - ⭐⭐⭐
Battery life - ⭐⭐⭐
Keyboard - ⭐⭐⭐⭐⭐
Heat management - ⭐⭐⭐⭐

This is my first laptop buying from Flipkart online eCommerce platform and the experience of ordering to product receiving is good(though they charged a little extra price). Received in less than 36hours of ordering. I am still discovering and learning things as I use so here's my review. Its good from every point ...
READ MORE"
ASUS TUF Gaming A15,Great laptop just go for it !!!!!!
ASUS TUF Gaming A15,"Everything is perfect,except battery"
ASUS TUF Gaming A15,Good
ASUS TUF Gaming A15,Best laptop value for money good display and gaming is best
ASUS TUF Gaming A15,This product for high level programming and gaming It Give you 150 160 fps in valorant Nice product
ASUS TUF Gaming A15,"It was great experience buying this laptop
Works very smoothly
Specially it hai 16 gb DDR5 ram which is aswm
And RTX 3050 runs almost every game at nice resolution"
ASUS TUF Gaming A15,Very good
ASUS TUF Gaming A15,Overall product is good one drawback battery drain fast.
ASUS TUF Gaming A15,Super
ASUS TUF Gaming A15,This laptop is so good if bought around 50k I am purchase this laptop 47k such a this bugget good product but windows installation date is jully whenever I bought this product in October so we aware go to offline
ASUS TUF Gaming A15,After using it for 2 days some error is coming in it and laptop is not starting. And is restarting over and over again.
ASUS TUF Gaming A15,Buy this beast 💯
ASUS TUF Gaming A15,Great laptop but battery backup is arround 3 hrs
ASUS TUF Gaming A15,"Value for money best quality display work without hang and lag , overroll performance is so good but bettery backup is poor arround 2-3hour"
ASUS TUF Gaming A15,"Value for money under 50k
To get battery performance use battery optimize options!!"
ASUS TUF Gaming A15,Good
ASUS TUF Gaming A15,very good
ASUS TUF Gaming A15,"*In my opinion it feel pretty premium while using the keyboard.
*Love the display
*It looks pretty good
*In gaming performance it run pretty well in Valorent it give me around 250 to 300fps (high setting)
*It sound quality is good as compared to other gaming laptop under 70k 😁

###Disadvantage ###
* Battery life is around 1.2hr after Full charging 😔
* No microsoft office access"
ASUS TUF Gaming A15,Nice Laptop from ASUS. Performance is mind blowing. Will be a great choice 👍🏻
ASUS TUF Gaming A15,worth itttttttt
ASUS TUF Gaming A15,The look of the laptop is really nice but it lagging something when I play NFS and using auto cadd
ASUS TUF Gaming A15,"Overall asus tuf A15 is good for any type of work. Like multiple tasks and gaming etc...,
But is one that is disappointed that it is a battery backup. Battery backup is really not good. Otherwise if you use this laptop in charging connect then you enjoy full potential."
ASUS TUF Gaming A15,Nice gaming pc but battery is the biggest issue. Brand new and still battery holds for max 1 hour with peak performance
ASUS TUF Gaming A15,"U can only use the laptop while charging only, don't buy this laptop if you prititize battery. I do only coding and in 1 hour 50% of battery is over. Think before buying...."
ASUS TUF Gaming A15,"Required Good packaging ☹️.
Laptop was good 😊"
ASUS TUF Gaming A15,Better consumption is very bad
ASUS TUF Gaming A15,"Go for it if you have budget around 70k
beast when it comes to performance
i use it for coding and gaming
so for no problem whatsoever..
17inch is a added advantage
little bulky but its expected out of gaming laptop
i have searched for more than a month to buy a gaming laptop
then bought this one
i was confused with leneovo ideapad, acer Nitro, pavilion gaming at last overall i think ASUS tuf comes on Top.. with its alround capabilities


hope this helps,,,,!!!!"
ASUS TUF Gaming A15,Amazing
