product_name,review
ASUS TUF Gaming F17,"Good quality, value for money"
ASUS TUF Gaming F17,It's really outstanding laptop. Performance super . Under 50k best laptop.
ASUS TUF Gaming F17,Good product
ASUS TUF Gaming F17,This is called a perfect match...
ASUS TUF Gaming F17,"Battery Not enough
But overall Product is good"
ASUS TUF Gaming F17,Good
ASUS TUF Gaming F17,awesome laptop it's value for money it's only down side is battery backup low and when not in charge it lag so i would recommend to use this laptop on charging
ASUS TUF Gaming F17,"All the games are very smooth
Like :- free fire, pubg, Minecraft, roblox, gta5 etc
Value of money product"
ASUS TUF Gaming F17,"Overall performance is good with the RTX 2050 dlss support but,it feels lagging while it is not plugged in it is lagging on even normal use like surfing or office task when it is not plugged in don't know windows-os bug or something and battery life is not good."
ASUS TUF Gaming F17,It's been a week now that i bought this laptop from Flipkart and I've been playing God of war and Farcry 6 it's amazing so smooth best gaming under 50k
ASUS TUF Gaming F17,"Bought the 8gb ram varient at 48k
Then upgraded the ram to 24gb which
cost me 2.8k [16Gb 3200 samsung ram]
buy Samsung or crucial only For Reliability...
A ram upgarade is a must to maximize the potential of this laptop and its performance ......
Their are still some issue [like minor lag/being careful with hinge if u have seen the design... its a strong hinge but the way the have been assembled....] but it it depends on person to person on how they used .... satisfied and somewhat OK with...
READ MORE"
ASUS TUF Gaming F17,Good
ASUS TUF Gaming F17,It is value for money and display also good 👍 but the battery backup is only 1 hours even if you setting in very low performance mode it not for students 😔 otherwise best budget gaming laptop 👍
ASUS TUF Gaming F17,Video quality is awesome. but audio speakers is not good.
ASUS TUF Gaming F17,As expected Tuf for gaming .!.!
ASUS TUF Gaming F17,I like degine value for money
ASUS TUF Gaming F17,Go for it
ASUS TUF Gaming F17,Super
ASUS TUF Gaming F17,"Well i am satisfied with the product , i will give my dtailed review after 1 or 2 months. ,after using it for almost 1 month feel battery is dischargeing very quickly, its not worth for professional Students.for simple gameing laptop it could do the work if we are connected to charging , otherwise gameplays are not worthy."
ASUS TUF Gaming F17,Volume is very very low compare to all other laptops
