product_name,review
ASUS Vivobook Go 15,"Very nice product ❤️
I am very happy loved it Asus laptop please buy this osm laptop I am very happy 🥰
Thank uhh flipkart ❤️"
ASUS Vivobook Go 15,Good one
ASUS Vivobook Go 15,Study laptop are very performance
ASUS Vivobook Go 15,laptop is good for generic use. but lag when heavy load
ASUS Vivobook Go 15,"Starting with the display, it's outstanding with bright, accurate visuals and viewing angles are great. Content watching experience is just awesome. It's not a performance centric laptop as it is meant to do the basic work. Nice design and built quality. The camera is not that good. The sound is quite loud and clear. The battery is impressive and gives almost 6 hours of battery life. Also, the My Asus app is very helpful. Overall, it's worth spending more for the OLED display."
ASUS Vivobook Go 15,Good one
ASUS Vivobook Go 15,Really Good
ASUS Vivobook Go 15,"Got it on 30th sep..... delivery was very smooth and the delivery executive opened the box first and the asked for the otp........
This laptop has another varient as well but it doesn't have oled screen and the charging is also little slower than this(i think)....
This laptop has a great viewing angle and due to oled even if you work on it for hrs u won't have any eye pain or such..... I didn't get any cons till now will update.....if u are planning to buying this laptop go for it i think no ...
READ MORE"
ASUS Vivobook Go 15,"Starting with the display, it's outstanding with bright, accurate visuals and viewing angles are great. Content watching experience is just awesome. It's not a performance centric laptop as it is meant to do the basic work. Nice design and built quality. The camera is not that good. The sound is quite loud and clear. The battery is impressive and gives almost 6 hours of battery life. Also, the My Asus app is very helpful. Overall, it's worth spending more for the OLED display."
ASUS Vivobook Go 15,"Display very good.
Picture quality very good.
Sound quality satisfactory, no require ment of earphone or headphone.
Battery back up is not satisfactory, this may be due to very nice picture quality which can consume more power than ordinary display laptops."
ASUS Vivobook Go 15,Display is Awesome... Performance is also good
ASUS Vivobook Go 15,Best performance
ASUS Vivobook Go 15,"Very nice laptop, mostly I m using this leptop for reading book and making notes on ms office. No problem till now since 2 week."
