product_name,review
HP 15s,Value for money..
HP 15s,very good product
HP 15s,Battery backup 2-3 hours. Otherwise this laptop is very good in this value
HP 15s,nice product
HP 15s,Flipcart gives defectiveProduct is cheap Product is not working properly as they show on cover page it has backlight no backlight performance was bad
HP 15s,Nice lapi
HP 15s,Fast delivery even in the lock down. Very good for office use. CD Drive and LAN PORT is not available.
HP 15s,Should buy this one of best in this range
HP 15s,"I m impressed with the looks,build quality and performance.over all must buy product"
HP 15s,Laptop good fod basic internet surfing and watching movies. Laptop build quality and keyboard very very poor. Front cameea doesn't have cover.
HP 15s,"Product is good.
Proforma is batter
Battery back up is nice
All over nice but
Display quality is not excellent"
HP 15s,Excellent product
HP 15s,"Best of programing coding
Good for videos and photos ending
Good for gaming
U can edit 4k clips
U can make 3D animetion using blender"
HP 15s,Nice product
HP 15s,Who are looking for budget laptop with good features . Battery lasts for 4 hours. Backlit feature good.A Great deal for Software engineers.
HP 15s,Good
HP 15s,Wow good
HP 15s,Performance is not good
HP 15s,Good product
HP 15s,Great product
HP 15s,It's nice go for it but I think If you want long battery backup then you need to think about it apart from battery backup scenario just go a head without any doubt 👍🏻
HP 15s,Superb
HP 15s,Perfect laptop for students.
HP 15s,Okay good laptop
HP 15s,Good
HP 15s,laptop is best but check laptop warranty
HP 15s,"It's nice product only have to compromise
with display (when watching by side)"
HP 15s,Nice one..go for it
HP 15s,Heating problem
HP 15s,All is OK. But battery performance is not up to the mark. However a nice laptop.
HP 15s,"Very good product uder 45k, display good but not best... battery capacity not sufficient for laptop.. otherwise design is very good and also backlit key board.. this price of range yea its a good laptop in my opinion."
HP 15s,Fantastic 😍😍
HP 15s,HP world laptop
HP 15s,"Speed is so good
Battery life 3-4hrs (for running low end application)
Design awesome
Display is nice
Overall good product
I love it
But charger heats a lot while charging may be because of fast charging..
It's silver colour only"
HP 15s,Value of money
HP 15s,Nice product
HP 15s,Value of money
HP 15s,I'm not happy on purchase to the loptop
HP 15s,Very good
HP 15s,Good working laptop superb quality value of money tq flipcart
HP 15s,Reviewing after using it for 1year.... It works really well
HP 15s,"Excellent
Value of money. No issue till now after two month of use. Processing speed is superb.
Quardcore processor with such low price is really appreciable."
HP 15s,Overall good performance but only issue is battery.
HP 15s,Product is good but Performance isn't much better.
HP 15s,Wow good
HP 15s,Worthy of penny
HP 15s,Product seems to be good. Bought it 15 days back. Keyboard is not very user-friendly. Power button needs improvement. Battery issue is there.But overall good at this price
HP 15s,Best item
HP 15s,Laptop is awesome... run smoothly... performance is best
HP 15s,I'm not happy on purchase to the loptop
HP 15s,"Performance is good
Build quality is ok ok
Improve the build quality
Battery backup is 4 hr after full charge
Light weight 💪 💪
Overall fabulous 🤩🤩"
HP 15s,Overall A Good product from HP 👍👍
HP 15s,Not bad
HP 15s,Good as per cost
HP 15s,Great value for money product
HP 15s,Like the product
HP 15s,"Good performance
It has quad core processor and maximum threads in this budget
--- backlight key board missing"
HP 15s,Super
HP 15s,"Used only for one day. Flipkart exchange and delivery was good for me. So far so good laptop as per performance wise. Will update further later on. For me it's value for money as it has inbuilt 1 tb ssd, because at present minimum 1 tb storage is mandatory which is missing from most of the laptops. It's boot time is only 10 seconds."
HP 15s,Battery performance is very bad only 2-3 hours
HP 15s,Nice 👍
HP 15s,Good laptop it's my first laptop very impressive But battery backup only long for 4 hours for normal task.
HP 15s,Overall ok but battery very fast drained.
HP 15s,Best laptop with best features
HP 15s,good for normal use
HP 15s,Good 👍
HP 15s,Screen is not good as expected and sometimes the laptop doesn't get on without power supply or charging even if it has more than 50% battery level
HP 15s,Display Quality Is Not Good And Also Battery Backup
HP 15s,"The battery drains too much even with normal usage, fan noise also irritates more. Please don't buy this model."
HP 15s,It has a fingerprint sensor
HP 15s,Amazing product
HP 15s,it was excellent product and it perfamence was good it is usefui for office and students
HP 15s,Value for money but because of SVA panel display I'm giving only 4 stars.
HP 15s,Altimate Product
HP 15s,Good best performance fast working good best laptop 💻 for hp i3 12 jeneration windows 11. .
HP 15s,Good performance
HP 15s,Nice
HP 15s,Good
HP 15s,Good working
HP 15s,"Great, good product, but battery backup is not much good, only 3 to 4 hrs battery backup, camera quality is not good, there no Alexa buit in support. Other things are good, sound quality mild low but sounds come good. I'm giving 4 start because of product delivery earlier then expected date."
HP 15s,Very good .. satisfied 😁😀
HP 15s,Laptop performance is good. Battery backup down without using laptop.
HP 15s,Nice one..go for it
HP 15s,Good product.
HP 15s,Supar quality I like this HP
HP 15s,It's awesome 👌 I am very satisfied with this product
HP 15s,"It's great experience to use HP .
Very trusty worthy brand"
HP 15s,Fast and smooth working.Light weight. Awesome product.
HP 15s,Good
HP 15s,Nice
HP 15s,Awesome product
HP 15s,Good
HP 15s,Best laptop under 40k prize
HP 15s,Good for study and coding nice laptop using 1 years
HP 15s,Value for money.
HP 15s,"Good product but my HP leptop warranty issue
6 month delayed pls resolve this issue Flipkart team."
HP 15s,satisfied
HP 15s,Super laptop ssd fast
HP 15s,Battery backup is low. Every thing is fine.
HP 15s,Overall is good 💯
HP 15s,Good product
HP 15s,Very good deafenately must and should buy thank you Flipkart
HP 15s,"My first laptop 💻😊
Battery back up okk"
HP 15s,Overall very good
HP 15s,Within 15 days the keyboard is not working and other booting issues also arise...I am not satisfied with this product
HP 15s,The battery power comes down soon after 1-2hr of usage and device gets overheated.
HP 15s,Absolutely rubbish. The pc crashed on the first windows update. When the incident was raised they changed the mother board but couldn't retrieve the data in the laptop which is absolutely unacceptable. Donot purchase laptops online.
