product_name,review
Infinix ZEROBOOK 13,heavy heating problem use as normal chrome or anything as normal use... battery is bad performance quickly down on normal use work only 4hr backup and speaker quality is too bad.... camera quality is not good ...charger is so big so problem with carrying in travel experience..
Infinix ZEROBOOK 13,"i,9 @ 49999 is a must buy"
Infinix ZEROBOOK 13,"A perfect all rounder offering good performance, decent battery 🔋 life, good full HD display, with amazing colour reproduction and great sound from inbuilt speakers that support DTS. Keyboard, Trackpad, Microphone, Webcam and Finger Print scanner are working as expected. Extremely satisfied with the packaging and delivery experience from Flipkart."
Infinix ZEROBOOK 13,touchpad is defective. rest everything is great
Infinix ZEROBOOK 13,"Touch sensor had a lag when purchased. Rest everything looks good.
Value for money."
Infinix ZEROBOOK 13,"i,9 @ 49999 is a must buy"
Infinix ZEROBOOK 13,"Good product very best laptop, speed all
Better and best price"
Infinix ZEROBOOK 13,Very nice product
Infinix ZEROBOOK 13,"Except touchpad issue it's great value for money product, i bought it in 55k, touchpad is out of control after an hours of use it feels very laggy."
Infinix ZEROBOOK 13,"Deep Learning Capabilities 10/10
Infinix ZeroBook excels in handling deep learning calculations. Whether you're training machine learning models or running complex simulations, this laptop delivers exceptional speed and accuracy. It's a reliable companion for professionals working in fields like artificial intelligence and data science.
BUT Charger Quality 0/10
Regrettably, the one area where the Infinix ZeroBook falls short is the quality of its charger. The charger provided with the laptop ...
READ MORE"
Infinix ZEROBOOK 13,Good Product. Thanks Flipkart.
Infinix ZEROBOOK 13,Good product and value for money
Infinix ZEROBOOK 13,"Awesome product same best in segment but trackpad has a great issue as reported in all reviews , after working of 1 hour issue reccur so u have to for retart to solve the issue
All other things which a normal coding person or student or a normal gamer need are good."
Infinix ZEROBOOK 13,Awesome
Infinix ZEROBOOK 13,👌 Perfect for the price.. All rounder..
Infinix ZEROBOOK 13,Excellent product at lowest price
Infinix ZEROBOOK 13,Nice laptop for bachelor students.
Infinix ZEROBOOK 13,Still touch pad issue
Infinix ZEROBOOK 13,Good product and value for money
Infinix ZEROBOOK 13,"Very nice, works well, performance in top notch."
Infinix ZEROBOOK 13,Nice product
Infinix ZEROBOOK 13,Awesome features and excellent performance. Able to super smoothly execute all heavy weight task simultaneously . Steal deal !!!!!
Infinix ZEROBOOK 13,Touchpad issue
Infinix ZEROBOOK 13,"Worst laptop. Don't buy. Many issues like heating, worst screen, very slow ext. Too many issues.After the use of only 2weeks it is dead during work.worst Don't Buy."
Infinix ZEROBOOK 13,"Awesome product same best in segment but trackpad has a great issue as reported in all reviews , after working of 1 hour issue reccur so u have to for retart to solve the issue
All other things which a normal coding person or student or a normal gamer need are good."
Infinix ZEROBOOK 13,"Good sound and camera, working performance and battery back up is average overall it is good laptop."
Infinix ZEROBOOK 13,Good Performance Lappy in this price budget!
Infinix ZEROBOOK 13,Nice product value for money
Infinix ZEROBOOK 13,There are some issue with the trackpad it is not that responsive as it should be... Charging cable quality is bad
Infinix ZEROBOOK 13,"price justified . Everything works as expected. After downloading drivers from their site
No issues with hardware after 15 days.
usb-c ports have slow speed (sata speed) (Not comparable to macbook).
But gen5 ssd runs like a butter giving speed of 7100 read and 6600 write faster than macbook
Linux run like butter very fast and windows does not have problem after doing an update"
Infinix ZEROBOOK 13,"This review is after 4 months of usage.
The day I received the laptop, I found out that there is an issue with the touchpad. The touchpad starts lagging if we use the touchpad for more than 2 hours. Restarting the laptop will fix the issue. The issue repeats again after 2 hours.

I connected the mouse and there is no lag issue. So performance is fine but the touchpad is having issues.

I replaced the laptop but still there is an issue in the new one as well. This whole process of replacemen...
READ MORE"
Infinix ZEROBOOK 13,"I liked everything about this laptop, super smooth and snappy, display is just awsome, speakers are of high quality, battery backup of normal usage (Balanced Mode) will be around 9hrs."
Infinix ZEROBOOK 13,Nice laptop top parfomanc
Infinix ZEROBOOK 13,Nice 👍🥰🥰
Infinix ZEROBOOK 13,"Awesome product for the price,
budget friendly,
good performance so far,
battery backup is around 8 hours in normal mode,
build quality is good.
It's a value for money product"
Infinix ZEROBOOK 13,"Best in the market ⭐⭐⭐⭐⭐
Good for editing
Top notch performance
Same features u have to pay more then 1.2lakh for other brand..
I am reviewing this after 1 week of use..

Cons:
C type charger not provided
Little noise in boost mode.."
Infinix ZEROBOOK 13,"It's fantastic.
You can have i9 13th Gen. 32GB Ram and 1TB SSD in such a low price. Aluminium metal body and others are the plus.
I got it in below 50K. (Lower than the processor market price)
I don't know how, but they are doing a very good job.

Now Cons:
1. No dedicated service stations.
2. A QR code is on keyboard side for the same.
Very disappointed with the service centre the way they planned.

Rest it is a Good choice.

Thanks Infinix, thanks Flipkart

Best
Shubham"
Infinix ZEROBOOK 13,"Laptop is good ,I don't know about infinix service but features of the laptop and I am writing this review by using laptop 4 days.

Performance is good, Overall laptop is worth it for programmers."
Infinix ZEROBOOK 13,Good
Infinix ZEROBOOK 13,Great
Infinix ZEROBOOK 13,Very good and fantastic laptop.. good and very smooth...function and lots of storage.. recommended to everyone to buy this.. good battery backup than other laptops and excellent for office and college workings.
Infinix ZEROBOOK 13,This is the problem USB Charger does not support and mouse pad not working properly
Infinix ZEROBOOK 13,Nice product
Infinix ZEROBOOK 13,Nice product
Infinix ZEROBOOK 13,"I am quite happy with the purchase. Feel like using MacBook Pro. Nice display, awesome performance. Like the keyboard too.
Power boost and camera applications having glitches but it not a big deal."
Infinix ZEROBOOK 13,heavy heating problem use as normal chrome or anything as normal use... battery is bad performance quickly down on normal use work only 4hr backup and speaker quality is too bad.... camera quality is not good ...charger is so big so problem with carrying in travel experience..
Infinix ZEROBOOK 13,"Very powerful performance,
Best display,
Value of money.
Thank you infinix. 🙏
I think such quality is not available in 60k.So the price of Infinix should be around 80k it's one of the best laptop in my life 🙏❣️😎👌💥💪"
Infinix ZEROBOOK 13,Price wise worth not by performance wise. This is not functioning as per configuration if it is i9 13gen means that function like extra ordinary. Compare to my another i5 11th gen I should rate that performance was good
Infinix ZEROBOOK 13,"Tris product is Excellent. In this price range of 48k(including all bank discounts and EMI offers) you can purchase this undoubtedly. Initially hesitated to buy this looking at some other reviews about this laptop. but in my budget this is the best option i have.

My review after using 48 hours:

1. Performance is awesome like butter smooth. You can run any kind of large projects or heavy processing tasks like guidewire applications, very large eEnterprise
applications very smoothly on th...
READ MORE"
Infinix ZEROBOOK 13,👌 Perfect for the price.. All rounder..
Infinix ZEROBOOK 13,"Device is good run smooth without lag
Good for programming and productivity.

Only draw back found is laptop hinge is little loose"
Infinix ZEROBOOK 13,Best of the best laptop 😍
Infinix ZEROBOOK 13,"Fantastic machine for it's price. I bought it on BBD sale.
Usage : MATLAB 2023, BLENDER , ADOBE PHOTOSHOP.
MY take : It is easily able to handle Matlab and CPU oriented task, (I had speculation before purchase as getting an i9 13th gen at that price). .
Blender is using GPU to its core and probably if you are looking for heavy GPU tasks that you may look for a laptop with dedicated chip.
It can handle CPU oriented heavy tasks easily but GPU's only basic one's.
Cons
The charger could have be...
READ MORE"
Infinix ZEROBOOK 13,World best laptop and value for money . I recommend to buy . Thanks to Flipkart because it's only available on Flipkart
Infinix ZEROBOOK 13,"The laptop is great value for money! It has best value for money specifications! It is not meant for gaming! It has HDMI 1.4 and does not have thunderbolt port. Older games will also make the system warm and you can feel it because the outlet is in the hinge and heat will make the screen warm! The cooling does create sound while gaming. The glossy screen reflects a lot of light. You do not get MS Office but instead MS 365 for 1 year! The benchmark scores are great in the over boost mode. Sing...
READ MORE"
Infinix ZEROBOOK 13,Best of the best laptop 😍
Infinix ZEROBOOK 13,"Super laptop at this price. If you want to buy a laptop in the range of 60k, go for this laptop.
Its full value for money"
Infinix ZEROBOOK 13,"The best laptop for IT Engineers. The system configuration is very high with a low price.
I just love it."
Infinix ZEROBOOK 13,Awesome Laptop heavyweight configuration on this price. I got this in 49k. If you are IT professional.go for it. Not recommended for heavy graphic work.
Infinix ZEROBOOK 13,"Product is good
But now my mouse cursor is not working now"
Infinix ZEROBOOK 13,"Good product very best laptop, speed all
Better and best price"
Infinix ZEROBOOK 13,This is the problem USB Charger does not support and mouse pad not working properly
Infinix ZEROBOOK 13,"This Laptops just makes me curious because the value it offers at this competitive price is just unmatched. I haven't expected the performance it actually provides whether it is battery, gaming, multitasking or anything it just performs so well that you can't complain. The only thing I would not appreciate is the weight, it has 1.8kg of weight which is little on the higher side, it could be the best if it could come under 1.5kgs. Overall it's the best out there available on the market."
Infinix ZEROBOOK 13,India's best laptop in best price
Infinix ZEROBOOK 13,"It's fantastic.
You can have i9 13th Gen. 32GB Ram and 1TB SSD in such a low price. Aluminium metal body and others are the plus.
I got it in below 50K. (Lower than the processor market price)
I don't know how, but they are doing a very good job.

Now Cons:
1. No dedicated service stations.
2. A QR code is on keyboard side for the same.
Very disappointed with the service centre the way they planned.

Rest it is a Good choice.

Thanks Infinix, thanks Flipkart

Best
Shubham"
