product_name,review
Lenovo IdeaPad Slim 3,Good product definitely go for it
Lenovo IdeaPad Slim 3,Display is very bad.....go for ips panel
Lenovo IdeaPad Slim 3,Very nice product
Lenovo IdeaPad Slim 3,Osm
Lenovo IdeaPad Slim 3,The screen was not so good very colur fade and also battery backup was not good
Lenovo IdeaPad Slim 3,"After using for 1 month, performance is good for normal work, little bit issue with keypad but Lenovo service and flipkart communication with seller is pathetic.
Warranty given is for 2 years on the flipkart website but Lenovo will give only one year of warranty and start date of warranty might be earlier by 3-4 months that they will update after wasting your some of the times but will not give the deniel letter for 2 years of warranty and flipkart will ask the same so at last you will just ...
READ MORE"
Lenovo IdeaPad Slim 3,"Flipkart displayed false specifications
Plastic body
Display also not good
Sound quality is worst"
Lenovo IdeaPad Slim 3,Build quality is fine at this price but display isn't preety good. It's okok and voice is also low you can't hear properly.
Lenovo IdeaPad Slim 3,"Worst display
Dead pixels
Not at all a ips display"
Lenovo IdeaPad Slim 3,"Only concern is battery 🔋
Performance is good
And budget friendly 😉"
Lenovo IdeaPad Slim 3,Good Product
Lenovo IdeaPad Slim 3,"Display 7/10
Battery 7/10
Sound 5/10
Design 9/10
Performance 9/10
Value for money 9/10
Got in big billion day @36667, 14th inch 16 gb variant"
Lenovo IdeaPad Slim 3,"Display 7/10
Battery 7/10
Sound 5/10
Design 9/10
Performance 9/10
Value for money 9/10
Got in big billion day @36667, 14th inch 16 gb variant"
Lenovo IdeaPad Slim 3,Very nice looking and light weight 👍
Lenovo IdeaPad Slim 3,Best in price with quality
Lenovo IdeaPad Slim 3,Good one for office and personal use...
Lenovo IdeaPad Slim 3,body not good as well as dell/HP
Lenovo IdeaPad Slim 3,Value for money product with good quality and performance
Lenovo IdeaPad Slim 3,awasome product.
Lenovo IdeaPad Slim 3,"Good for workholic person, High processing power,Best Coding laptop"
Lenovo IdeaPad Slim 3,Display could have been better and sound level is very low.
Lenovo IdeaPad Slim 3,"Amazing 😍🤩
Just ram should be 16gb"
Lenovo IdeaPad Slim 3,Excellent Performance and design quality I like so much this Lenovo Laptop.
Lenovo IdeaPad Slim 3,"Value of money, Good item, Thank you Flipkart"
Lenovo IdeaPad Slim 3,"Laptop is not optimize with 12th gen 12450H processer, it consumes too much battery after using balance mode, also some time stuck during task ..."
Lenovo IdeaPad Slim 3,Display is of very poor quality
Lenovo IdeaPad Slim 3,"Very nice, decent performance, reasonable battery life, perfect for dev and office work"
Lenovo IdeaPad Slim 3,Good product
Lenovo IdeaPad Slim 3,Display is very bad.....go for ips panel
Lenovo IdeaPad Slim 3,"I recently purchased a laptop and have been thoroughly impressed with its performance and features. The laptop has a sleek and modern design, making it a pleasure to use and carry around. The laptop's display was clear and vibrant, offering excellent color accuracy and sharpness.😇😊"
Lenovo IdeaPad Slim 3,very fast and nice laptop. restarts in just 10-13 seconds. and after switching on ready to use in next second no lag and nothing found in last 7 days. I found my 10 years daughter very happy with this laptop. even i have HP and DELL but this is the best ever laptop for us.
Lenovo IdeaPad Slim 3,Good for the student and office work
Lenovo IdeaPad Slim 3,Display could have been better and sound level is very low.
Lenovo IdeaPad Slim 3,"Writing a review after 1 week of use.Brought laptop in Dilwali sale for 33k 8gb variant.Overall decent product for the price brought, ok for daily use and office work can handle some heavy tasks.Sound quality is low which is disappointing.Would recommend to go for 16gb variant as ram is not expandable.Light weight,good battery back up,slim in design, decent choice for Working professional and students."
Lenovo IdeaPad Slim 3,"Good Product by Lenovo, Value for money.
Excellent Discount by Flipkart on Freedom sale.
Go for it...

This experience share after 1 month use.."
Lenovo IdeaPad Slim 3,This is a very good laptop with descent performance and display is so assum
Lenovo IdeaPad Slim 3,All Good.But We Are Not Upgrade Ram Memory. Don't Buy
Lenovo IdeaPad Slim 3,Sleek and very lightweight
Lenovo IdeaPad Slim 3,Display is very good dont go on reviews....
Lenovo IdeaPad Slim 3,Display is below average. Improvement needed. Because of display 45 k for this laptop not worth it.
Lenovo IdeaPad Slim 3,"Overall good laptop purchased it for 48k i think in this price range its a killer machine you will definitely go with it the battery is also good and laptop is slim and light with a powerful 13 gen processor sound of the speakers is also good
One thing which i like to add is that there is backlit support but there is only one mode for backlit its not too good so which is acceptable if you are looking for a laptop for your daily college work and coding you may go with this one"
Lenovo IdeaPad Slim 3,"This laptop have very good features and good performance
Disign is also good"
Lenovo IdeaPad Slim 3,So marvellous 🤩
Lenovo IdeaPad Slim 3,Poor display
Lenovo IdeaPad Slim 3,So marvellous 🤩
Lenovo IdeaPad Slim 3,Value for money
Lenovo IdeaPad Slim 3,"Got the laptop in big billion day at 39.3k. Giving the review after 1 week of use. I'm satisfied with everything but sound quality is very very poor quality (if you are in a indoor room still you can't able to hear the sound with full volume). I expect the company to work on that. I can rate
Design: 5✴️
Battery: 5✴️
Performance : 5✴️
Sound: 1✴️"
Lenovo IdeaPad Slim 3,Everything is good we prefer bag to be given free along with the product
Lenovo IdeaPad Slim 3,Value for money
Lenovo IdeaPad Slim 3,Good for the student and office work
Lenovo IdeaPad Slim 3,Everything is good except the TN Panel. It is too fade in colors when you compare with IPS Panel. Buy it if your use is just for productive purpose. For entertainment purpose it's not recommend.
Lenovo IdeaPad Slim 3,Product is better performance
Lenovo IdeaPad Slim 3,Good
Lenovo IdeaPad Slim 3,"This is an excellent laptop for its price....
It's slim and Light weight too.
As it is i3 12th 1215u processor the performance is snappy so far...and Battery back up is Good it's like around 4 to 5 hours.
Coming to Display it is Good but viewing angles are not great, as it is TN panel still it is Good.
Speaker output is low but good clarity.

Overall Very good Laptop for students and Office works..."
Lenovo IdeaPad Slim 3,"Flipkart displayed false specifications
Plastic body
Display also not good
Sound quality is worst"
Lenovo IdeaPad Slim 3,"Best laptop, good performance, Battery backup is less."
Lenovo IdeaPad Slim 3,Good product if you are looking below 40000
Lenovo IdeaPad Slim 3,Good at price
Lenovo IdeaPad Slim 3,3rd quality display.
Lenovo IdeaPad Slim 3,Battery backup issues 😭😭.
Lenovo IdeaPad Slim 3,Decent. Speakers should've been louder.
Lenovo IdeaPad Slim 3,Good product from Lenovo. It's a nice day to day task laptop. Good for students.
Lenovo IdeaPad Slim 3,"Sound quality is worse
One speaker is not working
After only 5 months of purchase"
Lenovo IdeaPad Slim 3,"Bad products
Display worst
Destop not open"
Lenovo IdeaPad Slim 3,"It is fast, slim and handy"
Lenovo IdeaPad Slim 3,Good
Lenovo IdeaPad Slim 3,Nice
