product_name,review
MSI Modern 14,"Very good product. I can do all my work like work on Excel, MySQL, phython etc I can do all my work on this and there is no issue while using this laptop. It is a very good product. Battery life of this laptop is decent It can easily run 4 to 5 hours. I really like this laptop."
MSI Modern 14,"Best Laptop

I really like the modern series of MSI, but I rate it 4 Stars for the Modern 14 C7M. Because it has a best processor, best performance and sexy design, but in this model SSD is upgradable but RAM is non upgradable.

BTW laptop is best. I suggest to those who want to buy this model, buy 16gb variant only."
MSI Modern 14,Awesome product
MSI Modern 14,"Short term review after using it for a week.

Pros
1. Very Beautiful design, looks really very beautiful. Looks metallic (but it complete plastic body).
2. Really compact sized laptop. Loved the really 14 inch low bezel display, and the FHD 1080p display quality is terrific.
3. Light weighted, loved it.
4. The usage feels really smooth, because of the powerful processor (7th Gen Ryzen 5) and RAM (16 GB).
5. MSI motherboard (MS-14JK) is used, two (2) 8gb DDR4 RAM sticks of Samsung brand is use...
READ MORE"
MSI Modern 14,"Nice laptop in theses price range. Loved it, sound is also ok ok. Battery back up also less. Otherwise it's good."
MSI Modern 14,"Good performance, portability, and style.

## Reviewing again after 1 month

Going strong, no problems at all. Using it with Windows 11 is fine. I get around 6 to 8 hours of battery life with normal web browsing and other light tasks.

After installing Ubuntu, the battery backup reduced to 2 to 3 hours. But after installing autocpu-freq, I am getting almost the same battery backup of around 6 hours

One thing I love most about this laptop is its military-grade build quality. It is super soli...
READ MORE"
MSI Modern 14,Dont buy
MSI Modern 14,"Good laptop for coding. If you are looking for to run android studio, go for it with 16gn ram. Its running makkhan. Thanks to i5 12th gen processor. Battery is average. While charging, rhe charging connector area get hot as it is slim.Except Everything is fine"
MSI Modern 14,"Battery backup not good, design is not as expected j.... otherwise do whatever you want..."
MSI Modern 14,Got this product for 32k in big billion day sale. 16gb ram + ryzen 5 with good processor with and radeon integrated graphics. Very very good deal. I worried about the battery . But it is giving around 6-7hrs + backup. So it is better . Thanks MSI and Flipkart
MSI Modern 14,"Battery OK till, screen very good, design and body perfect, I am a coding developer so added ~ 10 IDEs work perfectly no lagging, Sound could be rating wise but you can refer my video, value of money nice product"
MSI Modern 14,Good and best product MSI
MSI Modern 14,Great value as per price
MSI Modern 14,battery life is so poor that it last for 2 hrs only when it is brand new then you can think that if it get old thank how much backup it can give.
MSI Modern 14,Love this laptop at this price! Perfect for software development. Linux also works well on this laptop.
MSI Modern 14,"A must have one if you are searching to do some accounting work, like sap fico and tally. Ms 365 not available so you need pirated version. Iris xe graphics card makes it run smooth with 1235u processor. Will write another review after a year."
MSI Modern 14,Everything is fine. There's a bit of a heating issue. Try to give it proper air flow for long tun
MSI Modern 14,Truly value for money product must buy.
MSI Modern 14,"Plastic body
Body was a very bad"
MSI Modern 14,Laptop is best for students and official works
MSI Modern 14,"Very bad product
Heating within 5 mint
Suddenly shutdown"
MSI Modern 14,"Its very good and can be used for office work. I suggest to take 16 GB variant, as 8 GB will be eaten up by OS and couple of Browser and antivirus tasks🫥"
MSI Modern 14,Just awesome......as well as🤩🥰
MSI Modern 14,"Got this for 32k. Running Ubuntu with Windows 11 dual boot. This laptop has enough power for my development needs. Also do not forget to register the product on MSI website to avail free +3 month warranty. Go for this laptop especially if you are a student looking for a machine to learn coding (given you don't game). This laptop will just breeze through.


Fans a little noisy. That's the only nitpick I got."
MSI Modern 14,"Absolutely value for money
Check boxes ticked in all the parameters, 1st in class
Great for home use or office use
Only 2 cons, the battery backup is really low and the sound is low - can not use it without headphones"
MSI Modern 14,"Nice laptop for the price range of 36k
Build quality is awesome
Only thing is speakers are too low should have given a better ones"
MSI Modern 14,Everything good with this price expect sound quality is too low and battery backup 3-4hr depend upon your task
MSI Modern 14,Very good laptop in the segment
MSI Modern 14,"Don't buy this laptop. I bought it recently but the software they installed is fake and even the Microsoft browser crash quiet often. It shows black screen and all we can do is to force shut down. The clock speed mentioned in their specification is fake its only 1.3 ghz. Its a total scam. Its a waste of money don't fall for their trap. If u leave the laptop unused for for few minutes iy will automatically shut down and when we put it in sleep it won't open normally we need to force shut down ...
READ MORE"
MSI Modern 14,"Overall more than happy with the product, performance and price"
MSI Modern 14,Good product
