product_name,review
Apple MacBook AIR Apple M2,Very good battery 🔋 and performance
Apple MacBook AIR Apple M2,Best laptop in 67k
Apple MacBook AIR Apple M2,You can go for it without even thinking twice. Definitely worth the price.
Apple MacBook AIR Apple M2,"The product is osm, you can go with this without any hesitation
I am writing the review almost purchasing after 2 months.
Display and design 10/10
Speaker and camera 10/10
Performance and build quality 10/10
Battery backup 10/10 unbelievable

I am very happy to purchase this and using this very smoothly no lagging any type i am work this MacBook almost 15 hours per day office purpose very very nice choice and i am running the coding apps on the mac till now no lagging seen. It is working ve...
READ MORE"
Apple MacBook AIR Apple M2,"When i ordered and came to know about seller review,i was scared that in what condition i will get macbook. but i was wrong.

This is my first macbook and i am fully satisfied with the product with original packaging of apple and got genuine product.

It's very thin and light and looks very premium.

As A software developer, i installed intellij idea ide and guess what.
It's magic,it is opening just in a click and within 5 seconds.
Great performance, no heating issue, sound quality awesome an...
READ MORE"
Apple MacBook AIR Apple M2,Nice
Apple MacBook AIR Apple M2,Great...
Apple MacBook AIR Apple M2,This is a great device as a personal laptop or work machine. The Full HD camera is a welcome addition. 6 month M365 subscription is free with this machine and that is a good add-on benefit. The small notch around the camera in the top middle of the screen is pretty neatly integrated and does not disturb. The build quality is fantastic and form factor is perfect to hold and operate.
Apple MacBook AIR Apple M2,"If you need a laptop for parsonal uses , editing, coding, and much more at the best price range,
Not for gaming, if you play smaller game like 200mb the machine gonna too hot 🔥 if you are not a gamer then go for it..."
Apple MacBook AIR Apple M2,Most powerful laptop out there.
Apple MacBook AIR Apple M2,"Superb built quality, Amazing performance and display quality...

Got it at 72k, wonderful product at great price."
Apple MacBook AIR Apple M2,Nice
Apple MacBook AIR Apple M2,Go for it..its awesome
Apple MacBook AIR Apple M2,"Been waiting to buy a macbook since M1 lunch, but finally bought Air M2 because of BBD in Flipkart. I got it at an unbelievable price. But I was a little disappointed with the delivery as it got delivered after 4 days after it came out for delivery.

I think I don't need to talk anything about Macbook Air M2 performance, it's literally awesome and no window laptop can beat it's battery."
Apple MacBook AIR Apple M2,"The Item is outstanding, But the delivery was delayed due to Ekart Logistics."
Apple MacBook AIR Apple M2,I have used it for almost a year and my experience was great.
Apple MacBook AIR Apple M2,I bought the product during BBD 2023 at a good offer price. I am a first time mac user and got fascinated with the design and build quality of the Macbook. I feel like and excellent purchase.
Apple MacBook AIR Apple M2,Superb
Apple MacBook AIR Apple M2,Worth every penny u spend
Apple MacBook AIR Apple M2,Its really very good and compact device.
Apple MacBook AIR Apple M2,There is no need to review this product as when it comes to apple it gives you the best and premium feel. Though the MacBook is good the only disadvantage is the storage issue as it doesn't provide greater storage capacity.
Apple MacBook AIR Apple M2,Great laptop value for money.
Apple MacBook AIR Apple M2,"This MacBook is a fine wine ..
Go for it without any second thought.. 💗♾️🍷"
Apple MacBook AIR Apple M2,"It's my first macbook. It was totally a different feeling to own it. Right from its aesthetic finish look to its performance... All r just amazing. Silver macbook has different royalty and classic touch. The sleek design and light weight makes it to carry wherever and whenever. The M2 chip does the work. The transfers and downloads were way faster. The battery life is fine... Camera is great... Overall, if u really want to shift from windows to MacOS then just go for it. Apart from the cost,...
READ MORE"
Apple MacBook AIR Apple M2,The macbook is brilliant
Apple MacBook AIR Apple M2,Very good battery 🔋 and performance
Apple MacBook AIR Apple M2,"Overall a product that never disappoints. The only thing that u don't like in this black colour is a fingerprint magnet every time you touch it, it gets full of fingerprints."
Apple MacBook AIR Apple M2,Superb 😍
Apple MacBook AIR Apple M2,"Battery lasted longer than my first relationship (2 days).
Listening to Arijit singh songs on full volume since then still isn't getting over. Has more warmth than her. unlike her there's two way communication here as touchpad is very responsive. fingerprint lock is nice as it only opens up to me. 5 stars for this -1 for her"
Apple MacBook AIR Apple M2,"The MacBook Air M2 is Apple's latest addition to its renowned lineup of ultraportable laptops, and it certainly has a lot to offer. With its sleek design, remarkable M2 chip, and impressive battery life, it's a compelling choice for many users. However, it's not without its downsides.

**Pros:**

1. **Stunning Design:** The MacBook Air M2 maintains the iconic, slim, and lightweight design that Apple is known for. It's an absolute head-turner with its aluminum chassis.

2. **M2 Chip Performanc...
READ MORE"
Apple MacBook AIR Apple M2,"No need to tell it's apple
Good as al"
Apple MacBook AIR Apple M2,Design and build quality is excellent🤩... Performance is good enough for most users🙃... Handles day to day tasks with ease😉... Battery life is mind benging😅... Overall bang for the buck😎
Apple MacBook AIR Apple M2,EXPENSIVE BUT AMAZING! 🤯
Apple MacBook AIR Apple M2,Best laptop in 67k
Apple MacBook AIR Apple M2,"Such a great deal.. very happy with the performance and battery life..Origional product..🥰❤️
Thank you Flipkart..!!!"
Apple MacBook AIR Apple M2,"First time i have used macbook after windows and i would say i can't use windows again.beautiful display with amazing sound (specially dolby atmos feature) Performance of laptop is far better than windows top notch model laptops.

Flipkart delivery was worst part in this purchase.I have got this laptop 10 days after placing order and after making so much efforts.But overall i am satisfied with my purchase."
Apple MacBook AIR Apple M2,"Superb built quality, Amazing performance and display quality...

Got it at 72k, wonderful product at great price."
Apple MacBook AIR Apple M2,"Best in class
Display is just awesome crisp images
Sound quality very good
Fast charging also MagSafe
M2 chip best
Starlight colour loved it
Expensive but apple is apple"
Apple MacBook AIR Apple M2,"Superb built quality, Amazing performance and display quality...

Got it at 72k, wonderful product at great price."
Apple MacBook AIR Apple M2,"Happy with the delivery; got it early in the same day, although expected was 3 days from the order.

Thought to buy asus oled additionally but it very much matches that quality and punchiness in colors!"
Apple MacBook AIR Apple M2,"Been waiting to buy a macbook since M1 lunch, but finally bought Air M2 because of BBD in Flipkart. I got it at an unbelievable price. But I was a little disappointed with the delivery as it got delivered after 4 days after it came out for delivery.

I think I don't need to talk anything about Macbook Air M2 performance, it's literally awesome and no window laptop can beat it's battery."
Apple MacBook AIR Apple M2,"Its a light weight powerful machine which is smooth and has zero lags.
The keypad quality is good.
Midnight black color looks very elegant."
Apple MacBook AIR Apple M2,Totally Satisfied with this powerful machine. ✨
Apple MacBook AIR Apple M2,Totally Satisfied with this powerful machine. ✨
Apple MacBook AIR Apple M2,"First time i have used macbook after windows and i would say i can't use windows again.beautiful display with amazing sound (specially dolby atmos feature) Performance of laptop is far better than windows top notch model laptops.

Flipkart delivery was worst part in this purchase.I have got this laptop 10 days after placing order and after making so much efforts.But overall i am satisfied with my purchase."
Apple MacBook AIR Apple M2,Great...
Apple MacBook AIR Apple M2,"Loved it, it's my first MacBook that I earned from my hardwork 🥺❤️"
Apple MacBook AIR Apple M2,Superb 😍
Apple MacBook AIR Apple M2,Product is nice but price droped by 6k after purchasing so feels a bit dispointed.
Apple MacBook AIR Apple M2,This is the best in my entire life . Such a human Machine it is and 😀🎉
Apple MacBook AIR Apple M2,"Performance of Mac is much superior as compared to any windows machine. If you are concerned w.r.t productivity and efficiency of your efforts on laptop, choose Macbook.

For my needs, M2 gives most value for money.

CAUTION - Beware of the fact that if you are switching from windows ecosystem, you will need to put spend substantial efforts in first 2-3 weeks to learn Mac commands and shortcuts."
Apple MacBook AIR Apple M2,Just phenomenal. My words can't describe this machine.
Apple MacBook AIR Apple M2,Very nice product
Apple MacBook AIR Apple M2,"Great laptop. Very good performance, battery life and look and feel. Very happy with my purchase"
Apple MacBook AIR Apple M2,"Its a light weight powerful machine which is smooth and has zero lags.
The keypad quality is good.
Midnight black color looks very elegant."
Apple MacBook AIR Apple M2,"The product is osm, you can go with this without any hesitation
I am writing the review almost purchasing after 2 months.
Display and design 10/10
Speaker and camera 10/10
Performance and build quality 10/10
Battery backup 10/10 unbelievable

I am very happy to purchase this and using this very smoothly no lagging any type i am work this MacBook almost 15 hours per day office purpose very very nice choice and i am running the coding apps on the mac till now no lagging seen. It is working ve...
READ MORE"
Apple MacBook AIR Apple M2,Blindly go for Macbook if your budget allows. No other laptop can provide this quality and premiumness
Apple MacBook AIR Apple M2,"My first MacBook and also my first laptop. First I thought of buying a windows laptop as macbooks are way more expensive. But during the sale I bought it at 73k which is a steal deal. I am a college student and mainly bought it for coding, streaming videos and movies and also for some editing tasks.

I would like to tell you if you are not a gamer this is one of the best laptops you can have in this price range. Loved the design, the colour, the sound , the display, the battery backup and al...
READ MORE"
Apple MacBook AIR Apple M2,"When i ordered and came to know about seller review,i was scared that in what condition i will get macbook. but i was wrong.

This is my first macbook and i am fully satisfied with the product with original packaging of apple and got genuine product.

It's very thin and light and looks very premium.

As A software developer, i installed intellij idea ide and guess what.
It's magic,it is opening just in a click and within 5 seconds.
Great performance, no heating issue, sound quality awesome an...
READ MORE"
Apple MacBook AIR Apple M2,"The best product and building quality is superb, no matter for the usage if u r a windows user and planning to buy mac."
Apple MacBook AIR Apple M2,Nice
Apple MacBook AIR Apple M2,Good
Apple MacBook AIR Apple M2,Perfect one for office workers
Apple MacBook AIR Apple M2,Loved it❤️
Apple MacBook AIR Apple M2,"This laptop is great and best for Students and programmers.

A lot of people will tell you that you can't install cracked apps but there are lots of options.

The battery is best no laptop comes close to it in terms of battery.

The keyboard and trackpad are the best that I have ever uses in any laptop especially the keyboard that is spot on the backlit is the best among all the laptops.

Coming to performance M2 chip will handle anything you throw at it but to mention M2 chip has slower SSD ...
READ MORE"
Apple MacBook AIR Apple M2,"I'm reviewing after 2 months, honestly I assure that I have used many laptops but this is the most experience ever. Literally M2's have crucial or beast performance no doubt. It's feel like butter on a hot pan, and I suggest if you purchase M2 you should be go for the starlight colour seriously colour is very unique."
Apple MacBook AIR Apple M2,I ordered Macbook Air - 8GB RAM and 512GB Storage. I am happy with this product. It's expensive but it is valuable product and worth to have it. I am also happy with Flipkart services. I received it within 3 days. I recommended to buy this kind of expensive product from Flipkart as well.
Apple MacBook AIR Apple M2,"Awesome battery backup, performance wise no complaints , slick design and loved the midnight colour.... Although it's a fingerprint magnet

Delivery experience was very good"
Apple MacBook AIR Apple M2,"Just as expected,Awesome!"
Apple MacBook AIR Apple M2,Great laptop value for money.
Apple MacBook AIR Apple M2,"The deep midnight color is striking and adds a touch of elegance. The viewing experience is truly remarkable, providing vivid and immersive visuals. It's suitable for standard video and photo editing tasks. However, for users engaging in intensive video editing, it is advisable to choose the 512GB storage option due to the slower SSD speed of the 256GB model. Overall, considering the features and performance at this price point, it's a compelling deal."
Apple MacBook AIR Apple M2,Awesome ✨❤️
Apple MacBook AIR Apple M2,Great...
Apple MacBook AIR Apple M2,There is no need to review this product as when it comes to apple it gives you the best and premium feel. Though the MacBook is good the only disadvantage is the storage issue as it doesn't provide greater storage capacity.
Apple MacBook AIR Apple M2,Its very good product.
Apple MacBook AIR Apple M2,"When i ordered and came to know about seller review,i was scared that in what condition i will get macbook. but i was wrong.

This is my first macbook and i am fully satisfied with the product with original packaging of apple and got genuine product.

It's very thin and light and looks very premium.

As A software developer, i installed intellij idea ide and guess what.
It's magic,it is opening just in a click and within 5 seconds.
Great performance, no heating issue, sound quality awesome an...
READ MORE"
Apple MacBook AIR Apple M2,"If you need a laptop for parsonal uses , editing, coding, and much more at the best price range,
Not for gaming, if you play smaller game like 200mb the machine gonna too hot 🔥 if you are not a gamer then go for it..."
Apple MacBook AIR Apple M2,"Very good performance and battery life. Coming from windows some things I like while somethings I hate.
But from the machine perspective value for money. Not for gamers."
Apple MacBook AIR Apple M2,"The product is osm, you can go with this without any hesitation
I am writing the review almost purchasing after 2 months.
Display and design 10/10
Speaker and camera 10/10
Performance and build quality 10/10
Battery backup 10/10 unbelievable

I am very happy to purchase this and using this very smoothly no lagging any type i am work this MacBook almost 15 hours per day office purpose very very nice choice and i am running the coding apps on the mac till now no lagging seen. It is working ve...
READ MORE"
Apple MacBook AIR Apple M2,"Shifted from Windows to MacOS after using Windows till date. Takes a little time to get used to the new OS. But oh Boy!
-Its fast, smooth, light weight, super portable and a delight to work with.
- Display is amazing
- Speakers are loud
- No heating issues
- The biggest Highlight is the battery backup - runs well for a good 15-18 hrs on normal work usage
- Keyboard is fantastic, crisp, firm

The only negatives:
- the midnight color is a fingerprint magnet
- port selection is super limited"
Apple MacBook AIR Apple M2,Just moved from my old macbook air to M2 air. Overall the laptop is fast and capable of doing all the tasks required. Battery backup is very good. Overall happy with the purchase.
Apple MacBook AIR Apple M2,Just phenomenal. My words can't describe this machine.
Apple MacBook AIR Apple M2,Great...
Apple MacBook AIR Apple M2,"Performance of Mac is much superior as compared to any windows machine. If you are concerned w.r.t productivity and efficiency of your efforts on laptop, choose Macbook.

For my needs, M2 gives most value for money.

CAUTION - Beware of the fact that if you are switching from windows ecosystem, you will need to put spend substantial efforts in first 2-3 weeks to learn Mac commands and shortcuts."
Apple MacBook AIR Apple M2,First mac and it works like a beast
Apple MacBook AIR Apple M2,There is no need to review this product as when it comes to apple it gives you the best and premium feel. Though the MacBook is good the only disadvantage is the storage issue as it doesn't provide greater storage capacity.
Apple MacBook AIR Apple M2,"This MacBook is a fine wine ..
Go for it without any second thought.. 💗♾️🍷"
Apple MacBook AIR Apple M2,This is the first MacBook I ever have. And I must say no one can match Apple product.
Apple MacBook AIR Apple M2,Best powerful machine in all aspects
Apple MacBook AIR Apple M2,"The best product and building quality is superb, no matter for the usage if u r a windows user and planning to buy mac."
